"date","week","location","age_group","value"
"2020-10-04","40","DE","00+",0
"2020-10-11","41","DE","00+",0
"2020-10-18","42","DE","00+",0
"2020-10-25","43","DE","00+",0
"2020-11-01","44","DE","00+",0
"2020-11-08","45","DE","00+",0
"2020-11-15","46","DE","00+",0
"2020-11-22","47","DE","00+",0
"2020-11-29","48","DE","00+",0
"2020-12-06","49","DE","00+",0
"2020-12-13","50","DE","00+",0
"2020-12-20","51","DE","00+",0
"2020-12-27","52","DE","00+",0
"2021-01-03","53","DE","00+",0
"2021-01-10","01","DE","00+",0
"2021-01-17","02","DE","00+",0
"2021-01-24","03","DE","00+",0
"2021-01-31","04","DE","00+",0
"2021-02-07","05","DE","00+",0
"2021-02-14","06","DE","00+",0
"2021-02-21","07","DE","00+",0
"2021-02-28","08","DE","00+",0
"2021-03-07","09","DE","00+",0
"2021-03-14","10","DE","00+",0
"2021-03-21","11","DE","00+",0
"2021-03-28","12","DE","00+",0
"2021-04-04","13","DE","00+",0
"2021-04-11","14","DE","00+",0
"2021-04-18","15","DE","00+",0
"2021-04-25","16","DE","00+",0
"2021-05-02","17","DE","00+",0
"2021-05-09","18","DE","00+",0
"2021-05-16","19","DE","00+",0
"2021-05-23","20","DE","00+",0
"2021-05-30","21","DE","00+",0
"2021-06-06","22","DE","00+",0
"2021-06-13","23","DE","00+",0
"2021-06-20","24","DE","00+",0
"2021-06-27","25","DE","00+",0
"2021-07-04","26","DE","00+",0
"2021-07-11","27","DE","00+",0
"2021-07-18","28","DE","00+",0
"2021-07-25","29","DE","00+",0
"2021-08-01","30","DE","00+",0
"2021-08-08","31","DE","00+",0
"2021-08-15","32","DE","00+",0
"2021-08-22","33","DE","00+",0
"2021-08-29","34","DE","00+",0
"2021-09-05","35","DE","00+",0
"2021-09-12","36","DE","00+",0
"2021-09-19","37","DE","00+",1
"2021-09-26","38","DE","00+",0
"2021-10-03","39","DE","00+",0
"2020-10-04","40","DE-BW","00+",0
"2020-10-11","41","DE-BW","00+",0
"2020-10-18","42","DE-BW","00+",0
"2020-10-25","43","DE-BW","00+",0
"2020-11-01","44","DE-BW","00+",0
"2020-11-08","45","DE-BW","00+",0
"2020-11-15","46","DE-BW","00+",0
"2020-11-22","47","DE-BW","00+",0
"2020-11-29","48","DE-BW","00+",0
"2020-12-06","49","DE-BW","00+",0
"2020-12-13","50","DE-BW","00+",0
"2020-12-20","51","DE-BW","00+",0
"2020-12-27","52","DE-BW","00+",0
"2021-01-03","53","DE-BW","00+",0
"2021-01-10","01","DE-BW","00+",0
"2021-01-17","02","DE-BW","00+",0
"2021-01-24","03","DE-BW","00+",0
"2021-01-31","04","DE-BW","00+",0
"2021-02-07","05","DE-BW","00+",0
"2021-02-14","06","DE-BW","00+",0
"2021-02-21","07","DE-BW","00+",0
"2021-02-28","08","DE-BW","00+",0
"2021-03-07","09","DE-BW","00+",0
"2021-03-14","10","DE-BW","00+",0
"2021-03-21","11","DE-BW","00+",0
"2021-03-28","12","DE-BW","00+",0
"2021-04-04","13","DE-BW","00+",0
"2021-04-11","14","DE-BW","00+",0
"2021-04-18","15","DE-BW","00+",0
"2021-04-25","16","DE-BW","00+",0
"2021-05-02","17","DE-BW","00+",0
"2021-05-09","18","DE-BW","00+",0
"2021-05-16","19","DE-BW","00+",0
"2021-05-23","20","DE-BW","00+",0
"2021-05-30","21","DE-BW","00+",0
"2021-06-06","22","DE-BW","00+",0
"2021-06-13","23","DE-BW","00+",0
"2021-06-20","24","DE-BW","00+",0
"2021-06-27","25","DE-BW","00+",0
"2021-07-04","26","DE-BW","00+",0
"2021-07-11","27","DE-BW","00+",0
"2021-07-18","28","DE-BW","00+",0
"2021-07-25","29","DE-BW","00+",0
"2021-08-01","30","DE-BW","00+",0
"2021-08-08","31","DE-BW","00+",0
