"date","week","location","age_group","value"
"2024-10-06","40","DE","00+",80
"2024-10-13","41","DE","00+",160
"2024-10-20","42","DE","00+",157
"2024-10-27","43","DE","00+",150
"2024-11-03","44","DE","00+",128
"2024-11-10","45","DE","00+",160
"2024-11-17","46","DE","00+",160
"2024-11-24","47","DE","00+",167
"2024-12-01","48","DE","00+",177
"2024-12-08","49","DE","00+",167
"2024-12-15","50","DE","00+",170
"2024-12-22","51","DE","00+",158
"2024-12-29","52","DE","00+",30
"2025-01-05","01","DE","00+",67
"2025-01-12","02","DE","00+",198
"2025-01-19","03","DE","00+",228
"2025-01-26","04","DE","00+",320
"2025-02-02","05","DE","00+",330
"2025-02-09","06","DE","00+",248
"2025-02-16","07","DE","00+",50
"2024-10-06","40","DE-BB-BE","00+",4
"2024-10-13","41","DE-BB-BE","00+",24
"2024-10-20","42","DE-BB-BE","00+",22
"2024-10-27","43","DE-BB-BE","00+",12
"2024-11-03","44","DE-BB-BE","00+",16
"2024-11-10","45","DE-BB-BE","00+",18
"2024-11-17","46","DE-BB-BE","00+",20
"2024-11-24","47","DE-BB-BE","00+",17
"2024-12-01","48","DE-BB-BE","00+",27
"2024-12-08","49","DE-BB-BE","00+",28
"2024-12-15","50","DE-BB-BE","00+",18
"2024-12-22","51","DE-BB-BE","00+",23
"2024-12-29","52","DE-BB-BE","00+",1
"2025-01-05","01","DE-BB-BE","00+",12
"2025-01-12","02","DE-BB-BE","00+",34
"2025-01-19","03","DE-BB-BE","00+",25
"2025-01-26","04","DE-BB-BE","00+",45
"2025-02-02","05","DE-BB-BE","00+",26
"2025-02-09","06","DE-BB-BE","00+",16
"2025-02-16","07","DE-BB-BE","00+",3
"2024-10-06","40","DE-BW","00+",15
"2024-10-13","41","DE-BW","00+",32
"2024-10-20","42","DE-BW","00+",34
"2024-10-27","43","DE-BW","00+",28
"2024-11-03","44","DE-BW","00+",20
"2024-11-10","45","DE-BW","00+",20
"2024-11-17","46","DE-BW","00+",22
"2024-11-24","47","DE-BW","00+",23
"2024-12-01","48","DE-BW","00+",19
"2024-12-08","49","DE-BW","00+",27
"2024-12-15","50","DE-BW","00+",21
"2024-12-22","51","DE-BW","00+",21
"2024-12-29","52","DE-BW","00+",6
"2025-01-05","01","DE-BW","00+",14
"2025-01-12","02","DE-BW","00+",24
"2025-01-19","03","DE-BW","00+",24
"2025-01-26","04","DE-BW","00+",41
"2025-02-02","05","DE-BW","00+",39
"2025-02-09","06","DE-BW","00+",36
"2025-02-16","07","DE-BW","00+",1
"2024-10-06","40","DE-BY","00+",10
"2024-10-13","41","DE-BY","00+",28
"2024-10-20","42","DE-BY","00+",25
"2024-10-27","43","DE-BY","00+",40
"2024-11-03","44","DE-BY","00+",29
"2024-11-10","45","DE-BY","00+",32
"2024-11-17","46","DE-BY","00+",21
"2024-11-24","47","DE-BY","00+",29
"2024-12-01","48","DE-BY","00+",29
"2024-12-08","49","DE-BY","00+",25
"2024-12-15","50","DE-BY","00+",27
"2024-12-22","51","DE-BY","00+",35
"2024-12-29","52","DE-BY","00+",9
"2025-01-05","01","DE-BY","00+",12
"2025-01-12","02","DE-BY","00+",33
"2025-01-19","03","DE-BY","00+",45
"2025-01-26","04","DE-BY","00+",43
"2025-02-02","05","DE-BY","00+",44
"2025-02-09","06","DE-BY","00+",47
"2025-02-16","07","DE-BY","00+",9
"2024-10-06","40","DE-HE","00+",9
"2024-10-13","41","DE-HE","00+",14
"2024-10-20","42","DE-HE","00+",17
"2024-10-27","43","DE-HE","00+",9
"2024-11-03","44","DE-HE","00+",13
"2024-11-10","45","DE-HE","00+",21
"2024-11-17","46","DE-HE","00+",20
"2024-11-24","47","DE-HE","00+",18
"2024-12-01","48","DE-HE","00+",20
"2024-12-08","49","DE-HE","00+",18
"2024-12-15","50","DE-HE","00+",20
"2024-12-22","51","DE-HE","00+",13
"2024-12-29","52","DE-HE","00+",8
"2025-01-05","01","DE-HE","00+",8
"2025-01-12","02","DE-HE","00+",13
"2025-01-19","03","DE-HE","00+",32
"2025-01-26","04","DE-HE","00+",37
"2025-02-02","05","DE-HE","00+",54
"2025-02-09","06","DE-HE","00+",46
"2025-02-16","07","DE-HE","00+",5
"2024-10-06","40","DE-MV","00+",250
"2024-10-13","41","DE-MV","00+",380
"2024-10-20","42","DE-MV","00+",398
"2024-10-27","43","DE-MV","00+",175
"2024-11-03","44","DE-MV","00+",340
"2024-11-10","45","DE-MV","00+",360
"2024-11-17","46","DE-MV","00+",360
"2024-11-24","47","DE-MV","00+",420
"2024-12-01","48","DE-MV","00+",398
"2024-12-08","49","DE-MV","00+",400
"2024-12-15","50","DE-MV","00+",392
"2024-12-22","51","DE-MV","00+",320
"2024-12-29","52","DE-MV","00+",0
"2025-01-05","01","DE-MV","00+",0
"2025-01-12","02","DE-MV","00+",320
"2025-01-19","03","DE-MV","00+",372
"2025-01-26","04","DE-MV","00+",420
"2025-02-02","05","DE-MV","00+",480
"2025-02-09","06","DE-MV","00+",312
"2025-02-16","07","DE-MV","00+",0
"2024-10-06","40","DE-NI-HB","00+",4
"2024-10-13","41","DE-NI-HB","00+",5
"2024-10-20","42","DE-NI-HB","00+",10
"2024-10-27","43","DE-NI-HB","00+",12
"2024-11-03","44","DE-NI-HB","00+",5
"2024-11-10","45","DE-NI-HB","00+",12
"2024-11-17","46","DE-NI-HB","00+",12
"2024-11-24","47","DE-NI-HB","00+",5
"2024-12-01","48","DE-NI-HB","00+",13
"2024-12-08","49","DE-NI-HB","00+",3
"2024-12-15","50","DE-NI-HB","00+",13
"2024-12-22","51","DE-NI-HB","00+",8
"2024-12-29","52","DE-NI-HB","00+",4
"2025-01-05","01","DE-NI-HB","00+",4
"2025-01-12","02","DE-NI-HB","00+",17
"2025-01-19","03","DE-NI-HB","00+",17
"2025-01-26","04","DE-NI-HB","00+",23
"2025-02-02","05","DE-NI-HB","00+",34
"2025-02-09","06","DE-NI-HB","00+",16
"2025-02-16","07","DE-NI-HB","00+",1
"2024-10-06","40","DE-NW","00+",12
"2024-10-13","41","DE-NW","00+",14
"2024-10-20","42","DE-NW","00+",12
"2024-10-27","43","DE-NW","00+",12
"2024-11-03","44","DE-NW","00+",11
"2024-11-10","45","DE-NW","00+",14
"2024-11-17","46","DE-NW","00+",16
"2024-11-24","47","DE-NW","00+",20
"2024-12-01","48","DE-NW","00+",18
"2024-12-08","49","DE-NW","00+",20
"2024-12-15","50","DE-NW","00+",21
"2024-12-22","51","DE-NW","00+",27
"2024-12-29","52","DE-NW","00+",0
