"date","location","age_group","value"
"2018-10-07","DE","00+",59
"2018-10-14","DE","00+",100
"2018-10-21","DE","00+",90
"2018-10-28","DE","00+",95
"2018-11-04","DE","00+",68
"2018-11-11","DE","00+",108
"2018-10-07","DE-BW","00+",4
"2018-10-14","DE-BW","00+",10
"2018-10-21","DE-BW","00+",10
"2018-10-28","DE-BW","00+",5
"2018-11-04","DE-BW","00+",4
"2018-11-11","DE-BW","00+",19
"2018-10-07","DE-BY","00+",3
"2018-10-14","DE-BY","00+",12
"2018-10-21","DE-BY","00+",8
"2018-10-28","DE-BY","00+",16
"2018-11-04","DE-BY","00+",2
"2018-11-11","DE-BY","00+",10
"2018-10-07","DE-BB-BE","00+",4
"2018-10-14","DE-BB-BE","00+",12
"2018-10-21","DE-BB-BE","00+",8
"2018-10-28","DE-BB-BE","00+",8
"2018-11-04","DE-BB-BE","00+",4
"2018-11-11","DE-BB-BE","00+",12
"2018-10-07","DE-HE","00+",4
"2018-10-14","DE-HE","00+",6
"2018-10-21","DE-HE","00+",5
"2018-10-28","DE-HE","00+",7
"2018-11-04","DE-HE","00+",8
"2018-11-11","DE-HE","00+",10
"2018-10-07","DE-MV","00+",6
"2018-10-14","DE-MV","00+",15
"2018-10-21","DE-MV","00+",16
"2018-10-28","DE-MV","00+",20
"2018-11-04","DE-MV","00+",16
"2018-11-11","DE-MV","00+",27
"2018-10-07","DE-NI-HB","00+",3
"2018-10-14","DE-NI-HB","00+",5
"2018-10-21","DE-NI-HB","00+",8
"2018-10-28","DE-NI-HB","00+",13
"2018-11-04","DE-NI-HB","00+",12
"2018-11-11","DE-NI-HB","00+",4
"2018-10-07","DE-NW","00+",23
"2018-10-14","DE-NW","00+",29
"2018-10-21","DE-NW","00+",29
"2018-10-28","DE-NW","00+",20
"2018-11-04","DE-NW","00+",15
"2018-11-11","DE-NW","00+",24
"2018-10-07","DE-RP-SL","00+",3
"2018-10-14","DE-RP-SL","00+",5
"2018-10-21","DE-RP-SL","00+",6
"2018-10-28","DE-RP-SL","00+",5
"2018-11-04","DE-RP-SL","00+",5
"2018-11-11","DE-RP-SL","00+",5
"2018-10-07","DE-SN","00+",2
"2018-10-14","DE-SN","00+",2
"2018-10-21","DE-SN","00+",1
"2018-10-28","DE-SN","00+",5
"2018-11-04","DE-SN","00+",5
"2018-11-11","DE-SN","00+",5
"2018-10-07","DE-ST","00+",7
"2018-10-14","DE-ST","00+",8
"2018-10-21","DE-ST","00+",5
"2018-10-28","DE-ST","00+",6
"2018-11-04","DE-ST","00+",3
"2018-11-11","DE-ST","00+",4
"2018-10-07","DE-SH-HH","00+",3
"2018-10-14","DE-SH-HH","00+",2
"2018-10-21","DE-SH-HH","00+",0
"2018-10-28","DE-SH-HH","00+",1
"2018-11-04","DE-SH-HH","00+",3
"2018-11-11","DE-SH-HH","00+",2
"2018-10-07","DE-TH","00+",2
"2018-10-14","DE-TH","00+",6
"2018-10-21","DE-TH","00+",8
"2018-10-28","DE-TH","00+",8
"2018-11-04","DE-TH","00+",6
"2018-11-11","DE-TH","00+",10
