"date","location","age_group","value"
"2017-12-31","DE-NI-HB","00+",2
"2018-01-07","DE-NI-HB","00+",2
"2018-01-14","DE-NI-HB","00+",5
"2018-01-21","DE-NI-HB","00+",11
"2018-01-28","DE-NI-HB","00+",40
"2018-02-04","DE-NI-HB","00+",30
"2018-02-11","DE-NI-HB","00+",32
"2018-02-18","DE-NI-HB","00+",32
"2018-02-25","DE-NI-HB","00+",32
"2018-03-04","DE-NI-HB","00+",48
"2017-10-08","DE-NW","00+",1
"2017-10-15","DE-NW","00+",0
"2017-10-22","DE-NW","00+",0
"2017-10-29","DE-NW","00+",0
"2017-11-05","DE-NW","00+",0
"2017-11-12","DE-NW","00+",1
"2017-11-19","DE-NW","00+",1
"2017-11-26","DE-NW","00+",2
"2017-12-03","DE-NW","00+",1
"2017-12-10","DE-NW","00+",2
"2017-12-17","DE-NW","00+",2
"2017-12-24","DE-NW","00+",6
"2017-12-31","DE-NW","00+",6
"2018-01-07","DE-NW","00+",11
"2018-01-14","DE-NW","00+",10
"2018-01-21","DE-NW","00+",22
"2018-01-28","DE-NW","00+",20
"2018-02-04","DE-NW","00+",40
"2018-02-11","DE-NW","00+",45
"2018-02-18","DE-NW","00+",45
"2018-02-25","DE-NW","00+",52
"2018-03-04","DE-NW","00+",40
"2017-10-08","DE-RP-SL","00+",1
"2017-10-15","DE-RP-SL","00+",0
"2017-10-22","DE-RP-SL","00+",0
"2017-10-29","DE-RP-SL","00+",0
"2017-11-05","DE-RP-SL","00+",0
"2017-11-12","DE-RP-SL","00+",0
"2017-11-19","DE-RP-SL","00+",0
"2017-11-26","DE-RP-SL","00+",0
"2017-12-03","DE-RP-SL","00+",1
"2017-12-10","DE-RP-SL","00+",1
"2017-12-17","DE-RP-SL","00+",2
"2017-12-24","DE-RP-SL","00+",0
"2017-12-31","DE-RP-SL","00+",1
"2018-01-07","DE-RP-SL","00+",4
"2018-01-14","DE-RP-SL","00+",1
"2018-01-21","DE-RP-SL","00+",5
"2018-01-28","DE-RP-SL","00+",9
"2018-02-04","DE-RP-SL","00+",17
"2018-02-11","DE-RP-SL","00+",11
"2018-02-18","DE-RP-SL","00+",27
"2018-02-25","DE-RP-SL","00+",25
"2018-03-04","DE-RP-SL","00+",19
"2017-10-08","DE-SN","00+",0
"2017-10-15","DE-SN","00+",0
"2017-10-22","DE-SN","00+",0
"2017-10-29","DE-SN","00+",0
"2017-11-05","DE-SN","00+",0
"2017-11-12","DE-SN","00+",0
"2017-11-19","DE-SN","00+",2
"2017-11-26","DE-SN","00+",0
"2017-12-03","DE-SN","00+",0
"2017-12-10","DE-SN","00+",0
"2017-12-17","DE-SN","00+",2
"2017-12-24","DE-SN","00+",0
"2017-12-31","DE-SN","00+",5
"2018-01-07","DE-SN","00+",9
"2018-01-14","DE-SN","00+",22
"2018-01-21","DE-SN","00+",35
"2018-01-28","DE-SN","00+",88
"2018-02-04","DE-SN","00+",110
"2018-02-11","DE-SN","00+",108
"2018-02-18","DE-SN","00+",110
"2018-02-25","DE-SN","00+",118
"2018-03-04","DE-SN","00+",114
"2017-10-08","DE-ST","00+",0
"2017-10-15","DE-ST","00+",0
"2017-10-22","DE-ST","00+",0
"2017-10-29","DE-ST","00+",0
"2017-11-05","DE-ST","00+",0
"2017-11-12","DE-ST","00+",1
"2017-11-19","DE-ST","00+",0
"2017-11-26","DE-ST","00+",0
"2017-12-03","DE-ST","00+",0
"2017-12-10","DE-ST","00+",0
"2017-12-17","DE-ST","00+",1
"2017-12-24","DE-ST","00+",1
"2017-12-31","DE-ST","00+",1
"2018-01-07","DE-ST","00+",4
"2018-01-14","DE-ST","00+",4
"2018-01-21","DE-ST","00+",6
"2018-01-28","DE-ST","00+",16
"2018-02-04","DE-ST","00+",14
"2018-02-11","DE-ST","00+",17
"2018-02-18","DE-ST","00+",21
"2018-02-25","DE-ST","00+",30
"2018-03-04","DE-ST","00+",35
"2017-10-08","DE-SH-HH","00+",1
"2017-10-15","DE-SH-HH","00+",0
"2017-10-22","DE-SH-HH","00+",0
"2017-10-29","DE-SH-HH","00+",0
"2017-11-05","DE-SH-HH","00+",0
"2017-11-12","DE-SH-HH","00+",0
"2017-11-19","DE-SH-HH","00+",0
"2017-11-26","DE-SH-HH","00+",0
"2017-12-03","DE-SH-HH","00+",0
"2017-12-10","DE-SH-HH","00+",0
"2017-12-17","DE-SH-HH","00+",0
"2017-12-24","DE-SH-HH","00+",0
"2017-12-31","DE-SH-HH","00+",0
"2018-01-07","DE-SH-HH","00+",0
"2018-01-14","DE-SH-HH","00+",1
"2018-01-21","DE-SH-HH","00+",6
"2018-01-28","DE-SH-HH","00+",2
"2018-02-04","DE-SH-HH","00+",1
"2018-02-11","DE-SH-HH","00+",4
"2018-02-18","DE-SH-HH","00+",8
"2018-02-25","DE-SH-HH","00+",4
"2018-03-04","DE-SH-HH","00+",8
"2017-10-08","DE-TH","00+",0
"2017-10-15","DE-TH","00+",0
"2017-10-22","DE-TH","00+",0
"2017-10-29","DE-TH","00+",0
"2017-11-05","DE-TH","00+",0
"2017-11-12","DE-TH","00+",0
"2017-11-19","DE-TH","00+",0
"2017-11-26","DE-TH","00+",0
"2017-12-03","DE-TH","00+",0
"2017-12-10","DE-TH","00+",0
"2017-12-17","DE-TH","00+",1
"2017-12-24","DE-TH","00+",1
"2017-12-31","DE-TH","00+",0
"2018-01-07","DE-TH","00+",0
"2018-01-14","DE-TH","00+",4
"2018-01-21","DE-TH","00+",6
"2018-01-28","DE-TH","00+",5
"2018-02-04","DE-TH","00+",7
"2018-02-11","DE-TH","00+",2
"2018-02-18","DE-TH","00+",15
"2018-02-25","DE-TH","00+",13
"2018-03-04","DE-TH","00+",15
