"date","week","location","age_group","value"
"2018-10-07","40","DE","00+",0
"2018-10-14","41","DE","00+",0
"2018-10-21","42","DE","00+",0
"2018-10-28","43","DE","00+",0
"2018-11-04","44","DE","00+",0
"2018-11-11","45","DE","00+",0
"2018-11-18","46","DE","00+",3
"2018-11-25","47","DE","00+",4
"2018-12-02","48","DE","00+",4
"2018-12-09","49","DE","00+",4
"2018-12-16","50","DE","00+",5
"2018-12-23","51","DE","00+",5
"2018-12-30","52","DE","00+",3
"2019-01-06","01","DE","00+",9
"2019-01-13","02","DE","00+",24
"2019-01-20","03","DE","00+",29
"2019-01-27","04","DE","00+",50
"2019-02-03","05","DE","00+",110
"2019-02-10","06","DE","00+",133
"2019-02-17","07","DE","00+",125
"2019-02-24","08","DE","00+",130
"2019-03-03","09","DE","00+",130
"2019-03-10","10","DE","00+",95
"2019-03-17","11","DE","00+",79
"2019-03-24","12","DE","00+",64
"2019-03-31","13","DE","00+",35
"2019-04-07","14","DE","00+",35
"2019-04-14","15","DE","00+",15
"2019-04-21","16","DE","00+",5
"2019-04-28","17","DE","00+",3
"2019-05-05","18","DE","00+",3
"2019-05-12","19","DE","00+",0
"2019-05-19","20","DE","00+",0
"2019-05-26","21","DE","00+",0
"2019-06-02","22","DE","00+",0
"2019-06-09","23","DE","00+",0
"2019-06-16","24","DE","00+",3
"2019-06-23","25","DE","00+",0
"2019-06-30","26","DE","00+",0
"2019-07-07","27","DE","00+",0
"2019-07-14","28","DE","00+",0
"2019-07-21","29","DE","00+",0
"2019-07-28","30","DE","00+",0
"2019-08-04","31","DE","00+",0
"2019-08-11","32","DE","00+",3
"2019-08-18","33","DE","00+",0
"2019-08-25","34","DE","00+",0
"2019-09-01","35","DE","00+",0
"2019-09-08","36","DE","00+",0
"2019-09-15","37","DE","00+",0
"2019-09-22","38","DE","00+",0
"2018-10-07","40","DE-BW","00+",0
"2018-10-14","41","DE-BW","00+",0
"2018-10-21","42","DE-BW","00+",0
"2018-10-28","43","DE-BW","00+",0
"2018-11-04","44","DE-BW","00+",0
"2018-11-11","45","DE-BW","00+",0
"2018-11-18","46","DE-BW","00+",0
"2018-11-25","47","DE-BW","00+",1
"2018-12-02","48","DE-BW","00+",0
"2018-12-09","49","DE-BW","00+",0
"2018-12-16","50","DE-BW","00+",0
"2018-12-23","51","DE-BW","00+",3
"2018-12-30","52","DE-BW","00+",1
"2019-01-06","01","DE-BW","00+",2
"2019-01-13","02","DE-BW","00+",7
"2019-01-20","03","DE-BW","00+",14
"2019-01-27","04","DE-BW","00+",21
"2019-02-03","05","DE-BW","00+",21
"2019-02-10","06","DE-BW","00+",36
"2019-02-17","07","DE-BW","00+",44
"2019-02-24","08","DE-BW","00+",58
"2019-03-03","09","DE-BW","00+",53
"2019-03-10","10","DE-BW","00+",37
"2019-03-17","11","DE-BW","00+",20
"2019-03-24","12","DE-BW","00+",14
"2019-03-31","13","DE-BW","00+",8
"2019-04-07","14","DE-BW","00+",3
"2019-04-14","15","DE-BW","00+",2
"2019-04-21","16","DE-BW","00+",0
"2019-04-28","17","DE-BW","00+",0
"2019-05-05","18","DE-BW","00+",0
"2019-05-12","19","DE-BW","00+",0
"2019-05-19","20","DE-BW","00+",0
"2019-05-26","21","DE-BW","00+",0
"2019-06-02","22","DE-BW","00+",0
"2019-06-09","23","DE-BW","00+",0
"2019-06-16","24","DE-BW","00+",1
"2019-06-23","25","DE-BW","00+",0
"2019-06-30","26","DE-BW","00+",1
"2019-07-07","27","DE-BW","00+",0
"2019-07-14","28","DE-BW","00+",1
"2019-07-21","29","DE-BW","00+",0
"2019-07-28","30","DE-BW","00+",1
"2019-08-04","31","DE-BW","00+",1
"2019-08-11","32","DE-BW","00+",1
"2019-08-18","33","DE-BW","00+",0
"2019-08-25","34","DE-BW","00+",1
"2019-09-01","35","DE-BW","00+",0
"2019-09-08","36","DE-BW","00+",1
"2019-09-15","37","DE-BW","00+",0
"2019-09-22","38","DE-BW","00+",1
"2018-10-07","40","DE-BY","00+",0
"2018-10-14","41","DE-BY","00+",0
"2018-10-21","42","DE-BY","00+",0
"2018-10-28","43","DE-BY","00+",0
"2018-11-04","44","DE-BY","00+",2
"2018-11-11","45","DE-BY","00+",0
"2018-11-18","46","DE-BY","00+",0
"2018-11-25","47","DE-BY","00+",0
"2018-12-02","48","DE-BY","00+",2
"2018-12-09","49","DE-BY","00+",2
"2018-12-16","50","DE-BY","00+",0
"2018-12-23","51","DE-BY","00+",2
"2018-12-30","52","DE-BY","00+",2
"2019-01-06","01","DE-BY","00+",2
"2019-01-13","02","DE-BY","00+",11
"2019-01-20","03","DE-BY","00+",14
"2019-01-27","04","DE-BY","00+",24
"2019-02-03","05","DE-BY","00+",26
"2019-02-10","06","DE-BY","00+",33
"2019-02-17","07","DE-BY","00+",60
"2019-02-24","08","DE-BY","00+",60
"2019-03-03","09","DE-BY","00+",61
"2019-03-10","10","DE-BY","00+",44
"2019-03-17","11","DE-BY","00+",34
"2019-03-24","12","DE-BY","00+",32
"2019-03-31","13","DE-BY","00+",3
"2019-04-07","14","DE-BY","00+",2
"2019-04-14","15","DE-BY","00+",2
"2019-04-21","16","DE-BY","00+",0
"2019-04-28","17","DE-BY","00+",0
"2019-05-05","18","DE-BY","00+",0
"2019-05-12","19","DE-BY","00+",0
"2019-05-19","20","DE-BY","00+",0
"2019-05-26","21","DE-BY","00+",0
"2019-06-02","22","DE-BY","00+",0
"2019-06-09","23","DE-BY","00+",0
"2019-06-16","24","DE-BY","00+",1
"2019-06-23","25","DE-BY","00+",0
"2019-06-30","26","DE-BY","00+",1
"2019-07-07","27","DE-BY","00+",0
"2019-07-14","28","DE-BY","00+",1
"2019-07-21","29","DE-BY","00+",0
"2019-07-28","30","DE-BY","00+",1
"2019-08-04","31","DE-BY","00+",0
"2019-08-11","32","DE-BY","00+",1
