location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE,35-59,2023,41,2023-10-15,1591,-29,-17,0,-30,0,0,0,0,1,0,0
DE,35-59,2023,42,2023-10-22,1748,-124,-36,-5,-17,0,0,0,0,0,0,0
DE,35-59,2023,43,2023-10-29,1767,-53,2,32,-37,0,-2,-2,0,0,,
DE,35-59,2023,44,2023-11-05,1708,-70,-9,18,-34,3,2,0,0,,,
DE,35-59,2023,45,2023-11-12,1878,44,51,-9,-61,2,0,0,,,,
DE,35-59,2023,46,2023-11-19,2101,66,-14,-41,-20,0,0,,,,,
DE,35-59,2023,47,2023-11-26,2235,39,-25,5,0,-10,,,,,,
DE,35-59,2023,48,2023-12-03,2251,-3,20,0,-7,,,,,,,
DE,35-59,2023,49,2023-12-10,2520,89,0,1,,,,,,,,
DE,35-59,2023,50,2023-12-17,2867,0,64,,,,,,,,,
DE,35-59,2023,51,2023-12-24,0,2421,,,,,,,,,,
DE,35-59,2023,52,2023-12-31,1395,,,,,,,,,,,
DE,60+,2023,36,2023-09-10,321,-5,-1,-1,-8,0,-1,0,-1,0,0,0
DE,60+,2023,37,2023-09-17,337,41,-5,-6,-5,-1,0,2,0,0,0,-1
DE,60+,2023,38,2023-09-24,424,-11,-2,-9,-7,-1,0,0,0,1,0,0
DE,60+,2023,39,2023-10-01,423,16,1,9,-3,3,0,0,-1,0,0,0
DE,60+,2023,40,2023-10-08,508,-45,12,5,-7,1,0,0,0,0,0,0
DE,60+,2023,41,2023-10-15,693,-14,-7,1,-13,0,0,0,0,1,0,0
DE,60+,2023,42,2023-10-22,730,-44,-21,-4,-6,0,0,0,0,0,0,0
DE,60+,2023,43,2023-10-29,719,-34,-5,16,-16,0,1,0,0,0,,
DE,60+,2023,44,2023-11-05,656,-20,-5,3,-11,1,0,0,0,,,
DE,60+,2023,45,2023-11-12,774,8,17,2,-25,1,0,0,,,,
DE,60+,2023,46,2023-11-19,760,28,-1,-10,-7,0,0,,,,,
DE,60+,2023,47,2023-11-26,770,8,2,19,0,-4,,,,,,
DE,60+,2023,48,2023-12-03,772,8,19,0,-2,,,,,,,
DE,60+,2023,49,2023-12-10,855,54,0,-3,,,,,,,,
DE,60+,2023,50,2023-12-17,1099,0,7,,,,,,,,,
DE,60+,2023,51,2023-12-24,0,958,,,,,,,,,,
DE,60+,2023,52,2023-12-31,616,,,,,,,,,,,
DE-BB-BE,00+,2023,36,2023-09-10,2072,-53,-31,78,54,0,0,0,0,0,0,0
DE-BB-BE,00+,2023,37,2023-09-17,1811,615,125,41,0,0,0,0,0,0,0,0
DE-BB-BE,00+,2023,38,2023-09-24,2928,-79,-1,-87,0,0,0,0,0,0,0,0
DE-BB-BE,00+,2023,39,2023-10-01,2600,90,-21,-1,0,0,0,0,0,0,0,0
DE-BB-BE,00+,2023,40,2023-10-08,2443,12,-137,0,-112,7,0,0,0,0,0,0
DE-BB-BE,00+,2023,41,2023-10-15,3635,-135,27,-81,-53,0,0,0,0,0,0,0
DE-BB-BE,00+,2023,42,2023-10-22,3121,38,-43,-8,-56,0,0,0,0,0,0,0
DE-BB-BE,00+,2023,43,2023-10-29,3928,-187,-16,50,0,0,0,0,0,0,,
DE-BB-BE,00+,2023,44,2023-11-05,3452,-296,-249,15,-144,0,0,0,0,,,
DE-BB-BE,00+,2023,45,2023-11-12,3608,98,146,196,-77,0,0,0,,,,
DE-BB-BE,00+,2023,46,2023-11-19,4284,-92,168,-229,0,0,0,,,,,
DE-BB-BE,00+,2023,47,2023-11-26,4411,339,1,172,0,0,,,,,,
DE-BB-BE,00+,2023,48,2023-12-03,4892,-250,22,0,1,,,,,,,
DE-BB-BE,00+,2023,49,2023-12-10,5509,55,0,17,,,,,,,,
DE-BB-BE,00+,2023,50,2023-12-17,5958,0,-176,,,,,,,,,
DE-BB-BE,00+,2023,51,2023-12-24,0,3986,,,,,,,,,,
DE-BB-BE,00+,2023,52,2023-12-31,2224,,,,,,,,,,,
DE-BW,00+,2023,36,2023-09-10,678,-113,-35,0,-35,0,0,0,0,0,0,0
DE-BW,00+,2023,37,2023-09-17,806,-18,-21,0,1,0,0,0,0,0,0,0
DE-BW,00+,2023,38,2023-09-24,885,13,-12,2,-43,0,0,0,0,0,0,0
DE-BW,00+,2023,39,2023-10-01,1114,14,34,134,-34,0,0,0,0,0,0,0
DE-BW,00+,2023,40,2023-10-08,923,29,83,40,-14,0,0,0,0,0,0,0
DE-BW,00+,2023,41,2023-10-15,1591,120,22,-19,-64,0,0,0,0,0,0,0
DE-BW,00+,2023,42,2023-10-22,1728,-50,-49,23,0,0,0,0,0,0,0,0
DE-BW,00+,2023,43,2023-10-29,1764,-23,-66,30,-49,0,-8,0,0,0,,
DE-BW,00+,2023,44,2023-11-05,1749,-203,-39,-6,0,7,0,0,0,,,
DE-BW,00+,2023,45,2023-11-12,1616,-53,70,-8,-35,0,0,0,,,,
DE-BW,00+,2023,46,2023-11-19,1624,77,30,-28,-51,0,0,,,,,
DE-BW,00+,2023,47,2023-11-26,1875,-9,9,-18,0,0,,,,,,
DE-BW,00+,2023,48,2023-12-03,1805,-35,-25,0,17,,,,,,,
DE-BW,00+,2023,49,2023-12-10,2032,53,0,51,,,,,,,,
DE-BW,00+,2023,50,2023-12-17,2168,0,22,,,,,,,,,
DE-BW,00+,2023,51,2023-12-24,0,2009,,,,,,,,,,
DE-BW,00+,2023,52,2023-12-31,1439,,,,,,,,,,,
DE-BY,00+,2023,36,2023-09-10,814,-151,26,-22,-9,0,-13,0,0,0,0,0
DE-BY,00+,2023,37,2023-09-17,815,45,-19,38,-12,-15,0,0,0,0,0,2
DE-BY,00+,2023,38,2023-09-24,1062,-12,75,31,-23,0,0,0,0,0,0,0
DE-BY,00+,2023,39,2023-10-01,1519,103,64,-38,0,0,0,0,-10,0,0,0
DE-BY,00+,2023,40,2023-10-08,1462,109,-9,13,-7,0,0,0,0,0,0,0
DE-BY,00+,2023,41,2023-10-15,1982,109,-18,0,-16,0,0,0,0,0,0,0
DE-BY,00+,2023,42,2023-10-22,1819,63,-20,6,-21,0,0,0,0,0,0,0
DE-BY,00+,2023,43,2023-10-29,1798,-23,51,96,-21,0,0,0,0,0,,
DE-BY,00+,2023,44,2023-11-05,1467,-92,23,47,-18,0,0,0,0,,,
DE-BY,00+,2023,45,2023-11-12,1701,156,58,4,0,0,0,0,,,,
DE-BY,00+,2023,46,2023-11-19,1677,237,1,-10,-20,0,0,,,,,
DE-BY,00+,2023,47,2023-11-26,1863,119,-18,-13,0,0,,,,,,
DE-BY,00+,2023,48,2023-12-03,1899,-18,91,0,2,,,,,,,
DE-BY,00+,2023,49,2023-12-10,2083,208,0,49,,,,,,,,
DE-BY,00+,2023,50,2023-12-17,2551,0,7,,,,,,,,,
DE-BY,00+,2023,51,2023-12-24,0,2584,,,,,,,,,,
DE-BY,00+,2023,52,2023-12-31,1508,,,,,,,,,,,
DE-HE,00+,2023,36,2023-09-10,841,53,-8,-6,-17,0,0,0,0,0,0,0
DE-HE,00+,2023,37,2023-09-17,923,105,-7,-25,0,0,0,0,0,0,0,0
DE-HE,00+,2023,38,2023-09-24,1212,-1,-1,-21,-21,0,0,0,0,0,0,0
DE-HE,00+,2023,39,2023-10-01,1155,156,27,-24,0,-32,0,0,0,0,0,0
DE-HE,00+,2023,40,2023-10-08,976,-67,-35,2,-38,0,0,0,0,0,0,0
DE-HE,00+,2023,41,2023-10-15,1368,20,10,150,-33,0,0,0,0,0,0,0
DE-HE,00+,2023,42,2023-10-22,1299,37,114,8,0,0,0,0,0,0,0,0
DE-HE,00+,2023,43,2023-10-29,1529,-118,-32,-10,1,0,0,0,0,0,,
DE-HE,00+,2023,44,2023-11-05,1730,-8,-17,11,0,0,0,0,0,,,
DE-HE,00+,2023,45,2023-11-12,1583,56,15,21,0,0,0,0,,,,
DE-HE,00+,2023,46,2023-11-19,1786,130,33,-31,0,0,0,,,,,
DE-HE,00+,2023,47,2023-11-26,1821,144,12,0,0,-29,,,,,,
DE-HE,00+,2023,48,2023-12-03,1871,113,7,0,-16,,,,,,,
DE-HE,00+,2023,49,2023-12-10,2261,133,0,-21,,,,,,,,
DE-HE,00+,2023,50,2023-12-17,2579,0,69,,,,,,,,,
DE-HE,00+,2023,51,2023-12-24,0,2000,,,,,,,,,,
DE-HE,00+,2023,52,2023-12-31,1158,,,,,,,,,,,
