location,age_group,date,value,source,week
DE,00+,2016-07-31,1,ECDC,NA
DE,00+,2016-08-07,0,ECDC,NA
DE,00+,2016-08-14,0,ECDC,NA
DE,00+,2016-08-21,0,ECDC,NA
DE,00+,2016-08-28,0,ECDC,NA
DE,00+,2016-09-04,0,ECDC,NA
DE,00+,2016-09-11,1,ECDC,NA
DE,00+,2016-09-18,0,ECDC,NA
DE,00+,2016-09-25,0,ECDC,NA
DE,00+,2016-10-02,0,ECDC,NA
DE,00+,2016-10-09,0,ECDC,NA
DE,00+,2016-10-16,1,ECDC,NA
DE,00+,2016-10-23,1,ECDC,NA
DE,00+,2016-10-30,1,ECDC,NA
DE,00+,2016-11-06,3,ECDC,NA
DE,00+,2016-11-13,8,ECDC,NA
DE,00+,2016-11-20,5,ECDC,NA
DE,00+,2016-11-27,7,ECDC,NA
DE,00+,2016-12-04,7,ECDC,NA
DE,00+,2016-12-11,10,ECDC,NA
DE,00+,2016-12-18,21,ECDC,NA
DE,00+,2016-12-25,25,ECDC,NA
DE,00+,2017-01-01,20,ECDC,NA
DE,00+,2017-01-08,27,ECDC,NA
DE,00+,2017-01-15,45,ECDC,NA
DE,00+,2017-01-22,27,ECDC,NA
DE,00+,2017-01-29,38,ECDC,NA
DE,00+,2017-02-05,37,ECDC,NA
DE,00+,2017-02-12,39,ECDC,NA
DE,00+,2017-02-19,31,ECDC,NA
DE,00+,2017-02-26,23,ECDC,NA
DE,00+,2017-03-05,19,ECDC,NA
DE,00+,2017-03-12,16,ECDC,NA
DE,00+,2017-03-19,4,ECDC,NA
DE,00+,2017-03-26,7,ECDC,NA
DE,00+,2017-04-02,2,ECDC,NA
DE,00+,2017-04-09,3,ECDC,NA
DE,00+,2017-04-16,1,ECDC,NA
DE,00+,2017-04-23,0,ECDC,NA
DE,00+,2017-04-30,0,ECDC,NA
DE,00+,2017-05-07,1,ECDC,NA
DE,00+,2017-05-14,1,ECDC,NA
DE,00+,2017-05-21,0,ECDC,NA
DE,00+,2017-05-28,0,ECDC,NA
DE,00+,2017-06-04,0,ECDC,NA
DE,00+,2017-06-11,0,ECDC,NA
DE,00+,2017-06-18,0,ECDC,NA
DE,00+,2017-06-25,0,ECDC,NA
DE,00+,2017-07-02,0,ECDC,NA
DE,00+,2017-07-09,0,ECDC,NA
DE,00+,2017-07-16,0,ECDC,NA
DE,00+,2017-07-23,0,ECDC,NA
DE,00+,2017-07-30,0,ECDC,NA
DE,00+,2017-08-06,0,ECDC,NA
DE,00+,2017-08-13,0,ECDC,NA
DE,00+,2017-08-20,0,ECDC,NA
DE,00+,2017-08-27,0,ECDC,NA
DE,00+,2017-09-03,0,ECDC,NA
DE,00+,2017-09-10,0,ECDC,NA
DE,00+,2017-09-17,0,ECDC,NA
DE,00+,2017-09-24,0,ECDC,NA
DE,00+,2017-10-08,1,ECDC,NA
DE,00+,2017-10-15,0,ECDC,NA
DE,00+,2017-10-22,0,ECDC,NA
DE,00+,2017-10-29,1,ECDC,NA
DE,00+,2017-11-05,0,ECDC,NA
DE,00+,2017-11-12,2,ECDC,NA
DE,00+,2017-11-19,0,ECDC,NA
DE,00+,2017-11-26,2,ECDC,NA
DE,00+,2017-12-03,1,ECDC,NA
DE,00+,2017-12-10,4,ECDC,NA
DE,00+,2017-12-17,3,ECDC,NA
DE,00+,2017-12-24,7,ECDC,NA
DE,00+,2017-12-31,6,ECDC,NA
DE,00+,2018-01-07,8,ECDC,NA
DE,00+,2018-01-14,7,ECDC,NA
DE,00+,2018-01-21,11,ECDC,NA
DE,00+,2018-01-28,27,ECDC,NA
DE,00+,2018-02-04,19,ECDC,NA
DE,00+,2018-02-11,20,ECDC,NA
DE,00+,2018-02-18,17,ECDC,NA
DE,00+,2018-02-25,23,ECDC,NA
DE,00+,2018-03-04,16,ECDC,NA
DE,00+,2018-03-11,19,ECDC,NA
DE,00+,2018-03-18,19,ECDC,NA
DE,00+,2018-03-25,17,ECDC,NA
DE,00+,2018-04-01,6,ECDC,NA
DE,00+,2018-04-08,9,ECDC,NA
DE,00+,2018-04-15,4,ECDC,NA
DE,00+,2018-04-22,2,ECDC,NA
DE,00+,2018-04-29,0,ECDC,NA
