location,age_group,year,week,date,value_-1w,value_0w,value_1w,value_2w,value_3w,value_4w
DE,00+,2021,44,2021-11-07,16,21,0,0,0,0
DE,00+,2021,45,2021-11-14,25,18,1,0,0,0
DE,00+,2021,46,2021-11-21,18,18,2,0,1,0
DE,00+,2021,47,2021-11-28,23,15,0,1,0,0
DE,00+,2021,48,2021-12-05,21,14,3,0,1,0
DE,00+,2021,49,2021-12-12,0,69,0,0,0,0
DE,00+,2021,50,2021-12-19,38,60,0,0,0,1
DE,00+,2021,51,2021-12-26,54,23,0,0,2,1
DE,00+,2021,52,2022-01-02,50,37,0,1,0,0
DE,00+,2022,1,2022-01-09,77,85,13,1,2,1
DE,00+,2022,2,2022-01-16,120,105,3,1,0,0
DE,00+,2022,3,2022-01-23,154,122,4,0,1,0
DE,00+,2022,4,2022-01-30,165,118,3,2,0,0
DE,00+,2022,5,2022-02-06,158,162,4,1,0,0
DE,00+,2022,6,2022-02-13,155,122,2,0,1,1
DE,00+,2022,7,2022-02-20,125,113,2,0,0,3
DE,00+,2022,8,2022-02-27,93,89,0,2,6,1
DE,00+,2022,9,2022-03-06,97,80,11,3,0,1
DE,00+,2022,10,2022-03-13,115,179,17,2,0,0
DE,00+,2022,11,2022-03-20,226,228,1,2,4,3
DE,00+,2022,12,2022-03-27,302,308,4,5,7,1
DE,00+,2022,13,2022-04-03,365,311,8,3,3,2
DE,00+,2022,14,2022-04-10,412,422,14,4,9,1
DE,00+,2022,15,2022-04-17,567,443,13,8,1,2
DE,00+,2022,16,2022-04-24,420,610,11,3,0,2
DE,00+,2022,17,2022-05-01,779,698,12,7,1,1
DE,00+,2022,18,2022-05-08,843,849,5,4,2,0
DE,00+,2022,19,2022-05-15,1095,986,13,2,1,0
DE,00+,2022,20,2022-05-22,1028,801,13,8,0,2
DE,00+,2022,21,2022-05-29,658,269,6,3,2,0
DE,00+,2022,22,2022-06-05,432,322,8,0,2,0
DE,00+,2022,23,2022-06-12,233,362,9,1,0,0
DE,00+,2022,24,2022-06-19,335,226,2,1,2,1
DE,00+,2022,25,2022-06-26,254,229,5,13,2,29
DE,00+,2022,26,2022-07-03,227,107,4,2,1,2
DE,00+,2022,27,2022-07-10,46,165,2,0,0,0
DE,00+,2022,28,2022-07-17,123,100,0,0,0,0
DE,00+,2022,29,2022-07-24,107,84,0,2,1,0
DE,00+,2022,30,2022-07-31,85,84,0,1,1,1
DE,00+,2022,31,2022-08-07,95,69,1,1,1,0
DE,00+,2022,32,2022-08-14,86,83,2,0,0,1
DE,00+,2022,33,2022-08-21,110,96,3,1,1,0
DE,00+,2022,34,2022-08-28,118,128,2,0,0,1
DE,00+,2022,35,2022-09-04,134,111,1,0,0,0
DE,00+,2022,36,2022-09-11,127,118,0,0,1,2
DE,00+,2022,37,2022-09-18,132,105,6,0,1,1
DE,00+,2022,38,2022-09-25,165,133,4,5,0,1
DE,00+,2022,39,2022-10-02,300,320,3,0,1,0
DE,00+,2022,40,2022-10-09,383,509,9,3,0,3
DE,00+,2022,41,2022-10-16,829,636,14,5,5,18
DE,00+,2022,42,2022-10-23,615,1262,18,11,7,6
DE,00+,2022,43,2022-10-30,718,1431,30,31,8,6
DE,00+,2022,44,2022-11-06,521,1648,104,17,24,10
DE,00+,2022,45,2022-11-13,618,2873,109,25,27,5
DE,00+,2022,46,2022-11-20,1863,4716,182,52,16,8
DE,00+,2022,47,2022-11-27,3831,10615,355,42,32,8
DE,00+,2022,48,2022-12-04,14665,15133,367,222,28,12
DE,00+,2022,49,2022-12-11,24274,23300,522,191,133,35
DE,00+,2022,50,2022-12-18,32603,26313,355,117,151,171
DE,00+,2022,51,2022-12-25,31700,20264,364,202,126,17
DE,00+,2022,52,2023-01-01,12740,9186,115,25,20,12
DE,00+,2023,1,2023-01-08,10380,3864,38,20,3,7
DE,00+,2023,2,2023-01-15,4159,1795,11,5,8,3
DE,00+,2023,3,2023-01-22,1766,954,8,6,1,6
DE,00+,2023,4,2023-01-29,1302,760,10,2,7,0
DE,00+,2023,5,2023-02-05,1152,922,4,8,0,3
DE,00+,2023,6,2023-02-12,1351,911,0,7,8,5
DE,00+,2023,7,2023-02-19,944,1577,10,8,3,3
DE,00+,2023,8,2023-02-26,1436,1176,20,5,4,0
DE,00+,2023,9,2023-03-05,1752,1070,15,8,3,3
DE,00+,2023,10,2023-03-12,1887,1334,12,2,7,0
DE,00+,2023,11,2023-03-19,2046,1506,10,7,7,4
DE,00+,2023,12,2023-03-26,2256,1575,26,14,6,2
DE,00+,2023,13,2023-04-02,1729,1054,24,13,4,2
DE,00+,2023,14,2023-04-09,1243,464,22,13,3,9
DE,00+,2023,15,2023-04-16,744,573,13,7,6,3
DE,00+,2023,16,2023-04-23,652,379,10,3,1,1
DE,00+,2023,17,2023-04-30,442,316,5,4,0,1
DE,00+,2023,18,2023-05-07,301,275,1,0,0,1
DE,00+,2023,19,2023-05-14,322,194,4,1,6,0
DE,00+,2023,20,2023-05-21,189,90,2,2,4,0
DE,00+,2023,21,2023-05-28,152,95,1,0,0,1
DE,00+,2023,22,2023-06-04,83,71,1,0,1,0
DE,00+,2023,23,2023-06-11,67,54,0,2,0,0
DE,00+,2023,24,2023-06-18,57,34,0,0,2,0
DE,00+,2023,25,2023-06-25,48,28,1,3,0,0
DE,00+,2023,26,2023-07-02,40,21,1,0,0,1
DE,00+,2023,27,2023-07-09,23,21,1,0,0,0
DE,00+,2023,28,2023-07-16,25,17,0,0,0,0
DE,00+,2023,29,2023-07-23,24,15,1,1,0,0
DE,00+,2023,30,2023-07-30,17,26,0,1,0,0
DE,00+,2023,31,2023-08-06,24,15,1,0,0,0
DE,00+,2023,32,2023-08-13,37,24,0,0,0,0
DE,00+,2023,33,2023-08-20,15,40,0,0,0,0
DE,00+,2023,34,2023-08-27,25,56,1,0,1,0
DE,00+,2023,35,2023-09-03,37,25,0,0,0,0
DE,00+,2023,36,2023-09-10,39,47,3,1,0,0
DE,00+,2023,37,2023-09-17,41,52,0,1,1,1
DE,00+,2023,38,2023-09-24,50,49,1,2,0,0
DE,00+,2023,39,2023-10-01,29,68,1,2,0,0
DE,00+,2023,40,2023-10-08,45,68,3,1,0,0
DE,00+,2023,41,2023-10-15,100,74,0,0,1,1
DE,00+,2023,42,2023-10-22,99,79,3,0,0,0
DE,00+,2023,43,2023-10-29,114,109,3,0,0,0
DE,00+,2023,44,2023-11-05,85,140,1,3,0,0
DE,00+,2023,45,2023-11-12,172,154,0,0,4,0
DE,00+,2023,46,2023-11-19,206,170,0,5,0,0
DE,00+,2023,47,2023-11-26,252,227,4,1,1,0
DE,00+,2023,48,2023-12-03,360,340,0,6,1,0
DE,00+,2023,49,2023-12-10,670,800,20,0,2,2
DE,00+,2023,50,2023-12-17,1013,2465,24,10,8,1
