location,age_group,year,week,date,value_-1w,value_0w,value_1w,value_2w,value_3w,value_4w
DE,15-34,2024,34,2024-08-25,5,9,0,0,0,0
DE,15-34,2024,35,2024-09-01,1,3,0,0,0,0
DE,15-34,2024,36,2024-09-08,2,2,0,0,0,0
DE,15-34,2024,37,2024-09-15,4,1,0,0,0,0
DE,15-34,2024,38,2024-09-22,3,4,0,0,0,0
DE,15-34,2024,39,2024-09-29,2,10,0,0,0,0
DE,15-34,2024,40,2024-10-06,4,0,0,0,0,0
DE,15-34,2024,41,2024-10-13,2,2,0,0,0,0
DE,15-34,2024,42,2024-10-20,4,4,0,0,0,
DE,15-34,2024,43,2024-10-27,1,6,0,0,,
DE,15-34,2024,44,2024-11-03,6,5,0,,,
DE,15-34,2024,45,2024-11-10,6,2,,,,
DE,15-34,2024,46,2024-11-17,1,,,,,
DE,35-59,2024,21,2024-05-26,2,4,0,0,0,0
DE,35-59,2024,22,2024-06-02,7,3,0,0,0,0
DE,35-59,2024,23,2024-06-09,6,6,0,0,0,0
DE,35-59,2024,24,2024-06-16,3,4,0,0,0,0
DE,35-59,2024,25,2024-06-23,7,1,0,0,0,0
DE,35-59,2024,26,2024-06-30,2,3,0,0,0,0
DE,35-59,2024,27,2024-07-07,7,3,0,0,0,0
DE,35-59,2024,28,2024-07-14,6,0,0,0,0,0
DE,35-59,2024,29,2024-07-21,3,5,0,0,0,0
DE,35-59,2024,30,2024-07-28,0,2,0,0,0,0
DE,35-59,2024,31,2024-08-04,2,3,0,0,0,0
DE,35-59,2024,32,2024-08-11,1,4,0,0,0,0
DE,35-59,2024,33,2024-08-18,2,5,1,0,0,0
DE,35-59,2024,34,2024-08-25,4,8,0,0,1,0
DE,35-59,2024,35,2024-09-01,4,3,0,0,0,0
DE,35-59,2024,36,2024-09-08,1,3,0,1,0,0
DE,35-59,2024,37,2024-09-15,3,4,0,0,0,0
DE,35-59,2024,38,2024-09-22,3,2,0,0,0,0
DE,35-59,2024,39,2024-09-29,1,9,0,0,0,0
DE,35-59,2024,40,2024-10-06,4,2,0,0,0,0
DE,35-59,2024,41,2024-10-13,1,2,0,0,0,0
DE,35-59,2024,42,2024-10-20,4,5,0,0,0,
DE,35-59,2024,43,2024-10-27,8,7,0,0,,
DE,35-59,2024,44,2024-11-03,7,6,0,,,
DE,35-59,2024,45,2024-11-10,6,4,,,,
DE,35-59,2024,46,2024-11-17,9,,,,,
DE,60-79,2024,21,2024-05-26,7,2,1,0,0,0
DE,60-79,2024,22,2024-06-02,9,2,0,0,0,0
DE,60-79,2024,23,2024-06-09,7,4,1,0,0,0
DE,60-79,2024,24,2024-06-16,8,4,0,0,0,0
DE,60-79,2024,25,2024-06-23,4,3,0,0,0,0
DE,60-79,2024,26,2024-06-30,7,3,0,0,0,0
DE,60-79,2024,27,2024-07-07,7,4,0,0,0,0
DE,60-79,2024,28,2024-07-14,6,1,1,0,0,0
DE,60-79,2024,29,2024-07-21,3,4,0,0,0,0
DE,60-79,2024,30,2024-07-28,3,2,0,0,0,0
DE,60-79,2024,31,2024-08-04,1,2,0,0,0,0
DE,60-79,2024,32,2024-08-11,2,3,0,0,0,0
DE,60-79,2024,33,2024-08-18,3,2,0,0,0,0
DE,60-79,2024,34,2024-08-25,1,2,0,0,0,0
DE,60-79,2024,35,2024-09-01,1,2,0,0,0,0
DE,60-79,2024,36,2024-09-08,2,3,0,0,0,0
DE,60-79,2024,37,2024-09-15,2,0,0,0,0,0
DE,60-79,2024,38,2024-09-22,2,2,0,0,0,0
DE,60-79,2024,39,2024-09-29,6,4,0,0,0,0
DE,60-79,2024,40,2024-10-06,3,3,0,0,0,0
DE,60-79,2024,41,2024-10-13,1,5,0,0,0,0
DE,60-79,2024,42,2024-10-20,6,5,0,0,0,
