location,age_group,year,week,date,value_-1w,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE,00+,2024,41,2024-10-13,8709,7591,63,21,,,,,,,,,
DE,00+,2024,42,2024-10-20,8955,7374,76,,,,,,,,,,
DE,00+,2024,43,2024-10-27,9600,6721,,,,,,,,,,,
DE,00+,2024,44,2024-11-03,5358,,,,,,,,,,,,
DE,00-04,2024,41,2024-10-13,236,202,2,1,,,,,,,,,
DE,00-04,2024,42,2024-10-20,236,243,2,,,,,,,,,,
DE,00-04,2024,43,2024-10-27,317,212,,,,,,,,,,,
DE,00-04,2024,44,2024-11-03,166,,,,,,,,,,,,
DE,05-14,2024,41,2024-10-13,93,83,0,0,,,,,,,,,
DE,05-14,2024,42,2024-10-20,80,98,0,,,,,,,,,,
DE,05-14,2024,43,2024-10-27,135,105,,,,,,,,,,,
DE,05-14,2024,44,2024-11-03,77,,,,,,,,,,,,
DE,15-34,2024,41,2024-10-13,781,713,7,1,,,,,,,,,
DE,15-34,2024,42,2024-10-20,829,682,13,,,,,,,,,,
DE,15-34,2024,43,2024-10-27,773,594,,,,,,,,,,,
DE,15-34,2024,44,2024-11-03,422,,,,,,,,,,,,
DE,35-59,2024,41,2024-10-13,1769,1666,17,5,,,,,,,,,
DE,35-59,2024,42,2024-10-20,1827,1523,24,,,,,,,,,,
DE,35-59,2024,43,2024-10-27,1940,1363,,,,,,,,,,,
DE,35-59,2024,44,2024-11-03,958,,,,,,,,,,,,
DE,60-79,2024,41,2024-10-13,2620,2284,22,8,,,,,,,,,
DE,60-79,2024,42,2024-10-20,2792,2297,12,,,,,,,,,,
DE,60-79,2024,43,2024-10-27,3045,2055,,,,,,,,,,,
DE,60-79,2024,44,2024-11-03,1736,,,,,,,,,,,,
DE,80+,2024,41,2024-10-13,3210,2643,15,6,,,,,,,,,
DE,80+,2024,42,2024-10-20,3191,2531,25,,,,,,,,,,
DE,80+,2024,43,2024-10-27,3390,2392,,,,,,,,,,,
DE,80+,2024,44,2024-11-03,1999,,,,,,,,,,,,
DE-BB-BE,00+,2024,41,2024-10-13,613,481,2,1,,,,,,,,,
DE-BB-BE,00+,2024,42,2024-10-20,773,567,3,,,,,,,,,,
DE-BB-BE,00+,2024,43,2024-10-27,843,652,,,,,,,,,,,
DE-BB-BE,00+,2024,44,2024-11-03,473,,,,,,,,,,,,
DE-BW,00+,2024,41,2024-10-13,1148,898,6,2,,,,,,,,,
DE-BW,00+,2024,42,2024-10-20,1172,868,10,,,,,,,,,,
DE-BW,00+,2024,43,2024-10-27,988,755,,,,,,,,,,,
DE-BW,00+,2024,44,2024-11-03,612,,,,,,,,,,,,
DE-BY,00+,2024,41,2024-10-13,1883,1824,11,2,,,,,,,,,
DE-BY,00+,2024,42,2024-10-20,2192,1446,1,,,,,,,,,,
DE-BY,00+,2024,43,2024-10-27,1843,1176,,,,,,,,,,,
DE-BY,00+,2024,44,2024-11-03,1150,,,,,,,,,,,,
DE-HE,00+,2024,41,2024-10-13,662,394,2,-4,,,,,,,,,
DE-HE,00+,2024,42,2024-10-20,621,402,1,,,,,,,,,,
DE-HE,00+,2024,43,2024-10-27,726,322,,,,,,,,,,,
DE-HE,00+,2024,44,2024-11-03,418,,,,,,,,,,,,
DE-MV,00+,2024,41,2024-10-13,219,316,1,0,,,,,,,,,
DE-MV,00+,2024,42,2024-10-20,181,385,2,,,,,,,,,,
DE-MV,00+,2024,43,2024-10-27,274,255,,,,,,,,,,,
DE-MV,00+,2024,44,2024-11-03,89,,,,,,,,,,,,
DE-NI-HB,00+,2024,41,2024-10-13,508,571,13,1,,,,,,,,,
DE-NI-HB,00+,2024,42,2024-10-20,552,613,8,,,,,,,,,,
DE-NI-HB,00+,2024,43,2024-10-27,614,543,,,,,,,,,,,
DE-NI-HB,00+,2024,44,2024-11-03,306,,,,,,,,,,,,
DE-NW,00+,2024,41,2024-10-13,1303,1274,14,2,,,,,,,,,
DE-NW,00+,2024,42,2024-10-20,1078,1101,6,,,,,,,,,,
DE-NW,00+,2024,43,2024-10-27,1348,904,,,,,,,,,,,
DE-NW,00+,2024,44,2024-11-03,612,,,,,,,,,,,,
DE-RP-SL,00+,2024,41,2024-10-13,539,459,-1,10,,,,,,,,,
DE-RP-SL,00+,2024,42,2024-10-20,609,352,13,,,,,,,,,,
DE-RP-SL,00+,2024,43,2024-10-27,573,283,,,,,,,,,,,
DE-RP-SL,00+,2024,44,2024-11-03,316,,,,,,,,,,,,
DE-SH-HH,00+,2024,41,2024-10-13,597,358,4,2,,,,,,,,,
DE-SH-HH,00+,2024,42,2024-10-20,551,423,22,,,,,,,,,,
DE-SH-HH,00+,2024,43,2024-10-27,574,401,,,,,,,,,,,
DE-SH-HH,00+,2024,44,2024-11-03,276,,,,,,,,,,,,
DE-SN,00+,2024,41,2024-10-13,515,552,14,5,,,,,,,,,
DE-SN,00+,2024,42,2024-10-20,642,607,7,,,,,,,,,,
DE-SN,00+,2024,43,2024-10-27,837,789,,,,,,,,,,,
DE-SN,00+,2024,44,2024-11-03,526,,,,,,,,,,,,
DE-ST,00+,2024,41,2024-10-13,378,253,-1,0,,,,,,,,,
DE-ST,00+,2024,42,2024-10-20,295,430,1,,,,,,,,,,
DE-ST,00+,2024,43,2024-10-27,622,356,,,,,,,,,,,
DE-ST,00+,2024,44,2024-11-03,353,,,,,,,,,,,,
DE-TH,00+,2024,41,2024-10-13,362,231,2,0,,,,,,,,,
DE-TH,00+,2024,42,2024-10-20,332,210,0,,,,,,,,,,
DE-TH,00+,2024,43,2024-10-27,385,303,,,,,,,,,,,
DE-TH,00+,2024,44,2024-11-03,236,,,,,,,,,,,,
