Datum,ARE
2022-06-13,47.57685021084151
2022-06-06,41.76708124697143
2022-05-30,26.3011604475019
2022-05-23,14.834864059363781
2022-05-16,18.05161924196048
2022-05-09,23.67554624363963
2022-05-02,27.446247539826956
2022-04-25,30.52694432004776
2022-04-18,43.851237527536625
2022-04-11,50.058376284990175
2022-04-04,46.89765149318643
2022-03-28,56.568211778957505
2022-03-21,66.36206135136052
2022-03-14,74.34978768577494
2022-03-07,67.96606206366704
2022-02-28,58.959798670710455
2022-02-21,51.84587382808476
2022-02-14,56.49690623512612
2022-02-07,58.98789728117393
2022-01-31,67.30346104145565
2022-01-24,68.10144668690839
2022-01-17,62.78714186901598
2022-01-10,52.875
2022-01-03,45.9775159515209
2021-12-27,42.38327526132403
2021-12-20,39.15154385861038
2021-12-13,45.0069426201824
2021-12-06,55.85772561368353
2021-11-29,60.225566663004884
2021-11-22,68.23838987269752
2021-11-15,70.83064573926754
2021-11-08,60.41397153945667
2021-11-01,56.15023474178403
2021-10-25,51.73259293981897
2021-10-18,44.34937876646083
2021-10-11,35.66273612809084
2021-10-04,30.014236322961153
2021-09-27,24.53937331299143
2021-09-20,23.51421188630492
2021-09-13,19.218108668265117
2021-09-06,17.977753684295067
2021-08-30,15.956558061821212
2021-08-23,16.381609916836652
2021-08-16,9.680458506712725
2021-08-09,7.277819415407677
2021-08-02,4.120431442539001
2021-07-26,3.4877115916234374
2021-07-19,10.593713620488927
2021-07-12,6.843337168246919
2021-07-05,2.4458142771922837
2021-06-28,-1.5152729896576602
2021-06-21,-2.822999653619675
2021-06-14,-5.240755520085131
2021-06-07,-10.511575802837939
2021-05-31,-2.4525216953842204
2021-05-24,3.6260741982812874
2021-05-17,5.922754857223509
2021-05-10,15.31196779687258
2021-05-03,25.317941694384658
2021-04-26,29.599999999999994
2021-04-19,32.988819875776386
2021-04-12,37.505390771000066
2021-04-05,34.17842621382445
2021-03-29,33.579887476885546
2021-03-22,31.07615139078888
2021-03-15,28.36476217281171
2021-03-08,24.359724008887838
2021-03-01,18.158436213991777
2021-02-22,9.580345597743033
2021-02-15,7.225530958534662
2021-02-08,6.705328017397605
2021-02-01,12.164997901552852
2021-01-25,16.368286445012785
2021-01-18,21.613155833985914
2021-01-11,24.483963162908864
2021-01-04,39.09433962264151
2021-01-04,27.761800033835215
2020-12-28,51.92225792713617
2020-12-21,61.72315625503572
2020-12-14,63.838035752746066
2020-12-07,55.940511335152905
2020-11-30,52.79008468397734
2020-11-23,60.4997597308986
2020-11-16,59.18522130126226
2020-11-09,62.72904895178749
2020-11-02,71.5223298979644
2020-10-26,73.21204858652433
2020-10-19,54.15297711683672
2020-10-12,42.349422321271476
2020-10-05,42.73265556921015
2020-09-28,45.058930190389844
2020-09-21,49.790510700939876
2020-09-14,49.194463353755395
2020-09-07,36.80992627225319
2020-08-31,30.015552099533437
2020-08-24,22.290067105979077
2020-08-17,22.457370903374056
2020-08-10,22.79255945373204
2020-08-03,27.927298147500878
2020-07-27,37.565654258963235
2020-07-20,45.53215388935692
2020-07-13,41.28387357716531
2020-07-06,26.138241495241886
2020-06-29,13.959837408238783
2020-06-22,6.86323092170467
