"stratum","value","week","year","date"
"A00..04",20.1639112618341,44,2020,2020-11-01
"A00..04",30.1540200649993,45,2020,2020-11-08
"A00..04",35.1702698883708,46,2020,2020-11-15
"A00..04",35.1702698883708,47,2020,2020-11-22
"A00..04",33.1920305214074,48,2020,2020-11-29
"A00..04",39.1691394658754,49,2020,2020-12-06
"A00..04",33.1920305214074,50,2020,2020-12-13
"A00..04",25.1942913663982,51,2020,2020-12-20
"A00..04",20.1639112618341,52,2020,2020-12-27
"A00..04",14.1868023173661,53,2020,2021-01-03
"A00..04",14.1868023173661,1,2021,2021-01-10
"A00..04",12.1520418256324,2,2021,2021-01-17
"A00..04",8.15317224812776,3,2021,2021-01-24
"A00..04",8.15317224812776,4,2021,2021-01-31
"A00..04",12.1520418256324,5,2021,2021-02-07
"A00..04",13.1694220714992,6,2021,2021-02-14
"A00..04",16.1650416843295,7,2021,2021-02-21
"A00..04",14.1868023173661,8,2021,2021-02-28
"A00..04",16.1650416843295,9,2021,2021-03-07
"A00..04",25.1942913663982,10,2021,2021-03-14
"A00..04",31.1714003108662,11,2021,2021-03-21
"A00..04",29.1931609439028,12,2021,2021-03-28
"A00..04",36.1876501342377,13,2021,2021-04-04
"A00..04",20.1639112618341,14,2021,2021-04-11
"A00..04",22.198671753568,15,2021,2021-04-18
"A00..04",19.1465310159672,16,2021,2021-04-25
"A00..04",23.1595308746644,17,2021,2021-05-02
"A00..04",21.1812915077011,18,2021,2021-05-09
"A00..04",20.1639112618341,19,2021,2021-05-16
"A00..04",25.1942913663982,20,2021,2021-05-23
"A00..04",17.1824219301964,21,2021,2021-05-30
"A00..04",36.1876501342377,22,2021,2021-06-06
"A00..04",36.1876501342377,23,2021,2021-06-13
"A00..04",41.2038999576092,24,2021,2021-06-20
"A00..04",44.1995195704395,25,2021,2021-06-27
"A00..04",43.1821393245726,26,2021,2021-07-04
"A00..04",49.1592482690406,27,2021,2021-07-11
"A00..04",63.2047477744807,28,2021,2021-07-18
"A00..04",61.1699872827469,29,2021,2021-07-25
"A00..04",70.1992369648156,30,2021,2021-08-01
"A00..04",56.1537374593755,31,2021,2021-08-08
"A00..04",54.1754980924121,32,2021,2021-08-15
"A00..04",75.1589656634167,33,2021,2021-08-22
"A00..04",68.1644764730818,34,2021,2021-08-29
"A00..04",82.209975978522,35,2021,2021-09-05
"A00..04",142.164759078706,36,2021,2021-09-12
"A00..04",166.200367387311,37,2021,2021-09-19
"A00..04",252.211389006641,38,2021,2021-09-26
"A00..04",323.216051999435,39,2021,2021-10-03
"A00..04",380.175215486788,40,2021,2021-10-10
"A00..04",388.18708492299,41,2021,2021-10-17
"A00..04",422.198671753568,42,2021,2021-10-24
"A00..04",386.222975837219,43,2021,2021-10-31
"A00..04",334.223541048467,44,2021,2021-11-07
"A00..04",294.234845273421,45,2021,2021-11-14
"A00..04",275.215486788187,46,2021,2021-11-21
"A00..04",238.222410625971,47,2021,2021-11-28
"A00..04",166.200367387311,48,2021,2021-12-05
"A00..04",138.151759220009,49,2021,2021-12-12
"A00..04",139.169139465875,50,2021,2021-12-19
"A00..04",102.17606330366,51,2021,2021-12-26
"A00..04",63.2047477744807,52,2021,2022-01-02
"A00..04",61.1699872827469,1,2022,2022-01-09
"A00..04",75.1589656634167,2,2022,2022-01-16
"A00..04",80.1752154867882,3,2022,2022-01-23
"A00..04",77.1937261551505,4,2022,2022-01-30
"A00..04",78.2111064010174,5,2022,2022-02-06
"A00..04",79.1578352409213,6,2022,2022-02-13
