date,week,location,age_group,value
2018-10-07,40,DE,00+,394
2018-10-14,41,DE,00+,337
2018-10-21,42,DE,00+,387
2018-10-28,43,DE,00+,408
2018-11-04,44,DE,00+,425
2018-11-11,45,DE,00+,448
2018-11-18,46,DE,00+,419
2018-11-25,47,DE,00+,427
2018-12-02,48,DE,00+,479
2018-12-09,49,DE,00+,544
2018-12-16,50,DE,00+,519
2018-12-23,51,DE,00+,662
2018-12-30,52,DE,00+,702
2019-01-06,1,DE,00+,755
2019-01-13,2,DE,00+,711
2019-01-20,3,DE,00+,718
2019-01-27,4,DE,00+,811
2019-02-03,5,DE,00+,1027
2019-02-10,6,DE,00+,1185
2019-02-17,7,DE,00+,1196
2019-02-24,8,DE,00+,1265
2019-03-03,9,DE,00+,1115
2019-03-10,10,DE,00+,1076
2019-03-17,11,DE,00+,973
2019-03-24,12,DE,00+,874
2019-03-31,13,DE,00+,758
2019-04-07,14,DE,00+,673
2019-04-14,15,DE,00+,599
2019-04-21,16,DE,00+,562
2019-04-28,17,DE,00+,529
2019-05-05,18,DE,00+,422
2019-05-12,19,DE,00+,457
2019-05-19,20,DE,00+,405
2019-05-26,21,DE,00+,439
2019-06-02,22,DE,00+,394
2019-06-09,23,DE,00+,444
2019-06-16,24,DE,00+,411
2019-06-23,25,DE,00+,371
2019-06-30,26,DE,00+,357
2019-07-07,27,DE,00+,331
2019-07-14,28,DE,00+,326
2019-07-21,29,DE,00+,320
2019-07-28,30,DE,00+,357
2019-08-04,31,DE,00+,298
2019-08-11,32,DE,00+,291
2019-08-18,33,DE,00+,284
2019-08-25,34,DE,00+,316
2019-09-01,35,DE,00+,301
2019-09-08,36,DE,00+,297
2019-09-15,37,DE,00+,342
2019-09-22,38,DE,00+,350
2019-09-29,39,DE,00+,405
2019-10-06,40,DE,00+,410
2019-10-13,41,DE,00+,472
2019-10-20,42,DE,00+,480
2019-10-27,43,DE,00+,468
2019-11-03,44,DE,00+,454
2019-11-10,45,DE,00+,510
2019-11-17,46,DE,00+,511
2019-11-24,47,DE,00+,506
2019-12-01,48,DE,00+,522
2019-12-08,49,DE,00+,552
2019-12-15,50,DE,00+,615
2019-12-22,51,DE,00+,685
2019-12-29,52,DE,00+,707
2020-01-05,1,DE,00+,749
2020-01-12,2,DE,00+,758
2020-01-19,3,DE,00+,748
2020-01-26,4,DE,00+,837
2020-02-02,5,DE,00+,1011
2020-02-09,6,DE,00+,1041
2020-02-16,7,DE,00+,1019
2020-02-23,8,DE,00+,1092
2020-03-01,9,DE,00+,1120
2020-03-08,10,DE,00+,1114
2020-03-15,11,DE,00+,1045
2020-03-22,12,DE,00+,787
2020-03-29,13,DE,00+,770
2020-04-05,14,DE,00+,633
2020-04-12,15,DE,00+,542
2020-04-19,16,DE,00+,428
2020-04-26,17,DE,00+,363
2020-05-03,18,DE,00+,317
2020-05-10,19,DE,00+,294
2020-05-17,20,DE,00+,274
2020-05-24,21,DE,00+,245
2020-05-31,22,DE,00+,229
2020-06-07,23,DE,00+,213
2020-06-14,24,DE,00+,268
2020-06-21,25,DE,00+,225
2020-06-28,26,DE,00+,229
2020-07-05,27,DE,00+,264
2020-07-12,28,DE,00+,269
2020-07-19,29,DE,00+,285
2020-07-26,30,DE,00+,282
2020-08-02,31,DE,00+,324
2020-08-09,32,DE,00+,278
2020-08-16,33,DE,00+,335
2020-08-23,34,DE,00+,351
2020-08-30,35,DE,00+,335
2020-09-06,36,DE,00+,348
2020-09-13,37,DE,00+,370
2020-09-20,38,DE,00+,352
2020-09-27,39,DE,00+,371
2020-10-04,40,DE,00+,345
2020-10-11,41,DE,00+,369
2020-10-18,42,DE,00+,384
2020-10-25,43,DE,00+,527
2020-11-01,44,DE,00+,642
2020-11-08,45,DE,00+,698
2020-11-15,46,DE,00+,810
2020-11-22,47,DE,00+,757
2020-11-29,48,DE,00+,821
2020-12-06,49,DE,00+,877
2020-12-13,50,DE,00+,946
2020-12-20,51,DE,00+,1025
2020-12-27,52,DE,00+,1069
2021-01-03,53,DE,00+,1041
2021-01-10,1,DE,00+,880
2021-01-17,2,DE,00+,770
2021-01-24,3,DE,00+,723
2021-01-31,4,DE,00+,618
2021-02-07,5,DE,00+,549
2021-02-14,6,DE,00+,512
2021-02-21,7,DE,00+,473
2021-02-28,8,DE,00+,475
2021-03-07,9,DE,00+,492
2021-03-14,10,DE,00+,577
2021-03-21,11,DE,00+,622
2021-03-28,12,DE,00+,689
2021-04-04,13,DE,00+,765
2021-04-11,14,DE,00+,776
2021-04-18,15,DE,00+,727
2021-04-25,16,DE,00+,771
2021-05-02,17,DE,00+,740
2021-05-09,18,DE,00+,550
2021-05-16,19,DE,00+,510
2021-05-23,20,DE,00+,443
2021-05-30,21,DE,00+,283
2021-06-06,22,DE,00+,329
2021-06-13,23,DE,00+,284
2021-06-20,24,DE,00+,277
2021-06-27,25,DE,00+,276
2021-07-04,26,DE,00+,275
2021-07-11,27,DE,00+,281
2021-07-18,28,DE,00+,304
2021-07-25,29,DE,00+,323
2021-08-01,30,DE,00+,335
2021-08-08,31,DE,00+,338
2021-08-15,32,DE,00+,334
2021-08-22,33,DE,00+,385
2021-08-29,34,DE,00+,408
2021-09-05,35,DE,00+,432
2021-09-12,36,DE,00+,537
2021-09-19,37,DE,00+,551
2021-09-26,38,DE,00+,627
2021-10-03,39,DE,00+,709
2021-10-10,40,DE,00+,819
2021-10-17,41,DE,00+,827
2021-10-24,42,DE,00+,1007
2021-10-31,43,DE,00+,1072
2021-11-07,44,DE,00+,1092
2021-11-14,45,DE,00+,1038
2021-11-21,46,DE,00+,1122
2021-11-28,47,DE,00+,1088
2021-12-05,48,DE,00+,1062
2021-12-12,49,DE,00+,960
2021-12-19,50,DE,00+,808
2021-12-26,51,DE,00+,561
2022-01-02,52,DE,00+,436
2022-01-09,1,DE,00+,588
2022-01-16,2,DE,00+,498
2022-01-23,3,DE,00+,493
2022-01-30,4,DE,00+,513
2022-02-06,5,DE,00+,549
2022-02-13,6,DE,00+,569
2022-02-20,7,DE,00+,523
2022-02-27,8,DE,00+,570
2022-03-06,9,DE,00+,584
2022-03-13,10,DE,00+,633
2022-03-20,11,DE,00+,630
2022-03-27,12,DE,00+,616
2022-04-03,13,DE,00+,610
2022-04-10,14,DE,00+,549
2022-04-17,15,DE,00+,500
2022-04-24,16,DE,00+,456
2022-05-01,17,DE,00+,459
2022-05-08,18,DE,00+,450
2022-05-15,19,DE,00+,449
2022-05-22,20,DE,00+,368
2022-05-29,26,DE,00+,330
2022-05-29,21,DE,00+,347
2022-06-05,22,DE,00+,392
2022-06-05,27,DE,00+,386
2022-06-12,23,DE,00+,397
2022-06-12,28,DE,00+,410
2022-06-19,24,DE,00+,378
2022-06-19,29,DE,00+,385
2022-06-26,25,DE,00+,430
2022-06-26,30,DE,00+,425
2022-07-03,26,DE,00+,439
2022-07-03,31,DE,00+,451
2022-07-10,27,DE,00+,426
2022-07-10,32,DE,00+,416
2022-07-17,28,DE,00+,428
2022-07-17,33,DE,00+,435
2022-07-24,29,DE,00+,530
2022-07-24,34,DE,00+,516
2022-07-31,30,DE,00+,407
2022-07-31,35,DE,00+,411
2022-08-07,31,DE,00+,430
2022-08-07,36,DE,00+,411
2022-08-14,32,DE,00+,384
2022-08-14,37,DE,00+,369
2022-08-21,33,DE,00+,381
2022-08-21,38,DE,00+,379
2022-08-28,34,DE,00+,342
2022-08-28,39,DE,00+,334
2022-09-04,35,DE,00+,334
2022-09-04,40,DE,00+,319
2022-09-11,36,DE,00+,443
2022-09-11,41,DE,00+,428
2022-09-18,37,DE,00+,433
2022-09-18,42,DE,00+,415
2022-09-25,38,DE,00+,489
2022-09-25,43,DE,00+,485
2022-10-02,39,DE,00+,671
2022-10-02,44,DE,00+,583
2022-10-09,40,DE,00+,694
2022-10-09,45,DE,00+,505
2022-10-16,41,DE,00+,757
2022-10-23,42,DE,00+,783
2022-10-30,43,DE,00+,728
2022-11-06,44,DE,00+,680
2022-11-13,45,DE,00+,774
2022-11-20,46,DE,00+,918
2022-11-27,47,DE,00+,1156
2022-12-04,48,DE,00+,1308
2022-12-11,49,DE,00+,1567
2022-12-18,50,DE,00+,1661
2022-12-25,51,DE,00+,1564
2022-12-25,50,DE,00+,1560
2023-01-01,52,DE,00+,1385
2023-01-01,51,DE,00+,1379
2023-01-08,1,DE,00+,1208
2023-01-08,52,DE,00+,1207
2023-01-15,2,DE,00+,755
2023-01-15,1,DE,00+,755
2023-01-22,3,DE,00+,615
2023-01-22,2,DE,00+,610
2023-01-29,4,DE,00+,626
2023-01-29,3,DE,00+,623
2023-02-05,5,DE,00+,623
2023-02-05,4,DE,00+,620
2023-02-12,6,DE,00+,681
2023-02-12,5,DE,00+,680
2023-02-19,7,DE,00+,672
2023-02-19,6,DE,00+,670
2023-02-26,8,DE,00+,733
2023-02-26,7,DE,00+,731
2023-03-05,9,DE,00+,754
2023-03-05,8,DE,00+,751
2023-03-12,10,DE,00+,783
2023-03-12,9,DE,00+,785
2023-03-19,11,DE,00+,816
2023-03-19,10,DE,00+,808
2023-03-26,12,DE,00+,786
2023-03-26,11,DE,00+,780
2023-04-02,13,DE,00+,671
2023-04-02,12,DE,00+,662
2023-04-09,14,DE,00+,672
2023-04-09,13,DE,00+,647
2023-04-16,15,DE,00+,571
2023-04-16,14,DE,00+,566
2023-04-23,16,DE,00+,558
2023-04-23,15,DE,00+,522
2023-04-30,17,DE,00+,510
2023-04-30,16,DE,00+,457
2023-05-07,18,DE,00+,538
2023-05-07,17,DE,00+,417
2023-05-14,19,DE,00+,506
2023-05-21,20,DE,00+,456
2023-05-28,21,DE,00+,383
2023-06-04,22,DE,00+,361
2018-10-07,40,DE,00-04,68
2018-10-14,41,DE,00-04,60
2018-10-21,42,DE,00-04,68
2018-10-28,43,DE,00-04,79
2018-11-04,44,DE,00-04,80
2018-11-11,45,DE,00-04,78
2018-11-18,46,DE,00-04,61
2018-11-25,47,DE,00-04,88
2018-12-02,48,DE,00-04,118
2018-12-09,49,DE,00-04,140
2018-12-16,50,DE,00-04,128
2018-12-23,51,DE,00-04,197
2018-12-30,52,DE,00-04,225
2019-01-06,1,DE,00-04,201
2019-01-13,2,DE,00-04,216
2019-01-20,3,DE,00-04,249
2019-01-27,4,DE,00-04,304
2019-02-03,5,DE,00-04,370
2019-02-10,6,DE,00-04,399
2019-02-17,7,DE,00-04,373
2019-02-24,8,DE,00-04,359
2019-03-03,9,DE,00-04,267
2019-03-10,10,DE,00-04,217
2019-03-17,11,DE,00-04,198
2019-03-24,12,DE,00-04,196
2019-03-31,13,DE,00-04,166
2019-04-07,14,DE,00-04,144
2019-04-14,15,DE,00-04,130
2019-04-21,16,DE,00-04,107
2019-04-28,17,DE,00-04,93
2019-05-05,18,DE,00-04,61
2019-05-12,19,DE,00-04,95
2019-05-19,20,DE,00-04,79
2019-05-26,21,DE,00-04,64
2019-06-02,22,DE,00-04,68
2019-06-09,23,DE,00-04,75
2019-06-16,24,DE,00-04,51
2019-06-23,25,DE,00-04,58
2019-06-30,26,DE,00-04,38
2019-07-07,27,DE,00-04,38
2019-07-14,28,DE,00-04,37
2019-07-21,29,DE,00-04,44
2019-07-28,30,DE,00-04,27
2019-08-04,31,DE,00-04,26
2019-08-11,32,DE,00-04,28
2019-08-18,33,DE,00-04,28
2019-08-25,34,DE,00-04,38
2019-09-01,35,DE,00-04,40
2019-09-08,36,DE,00-04,46
2019-09-15,37,DE,00-04,67
2019-09-22,38,DE,00-04,65
2019-09-29,39,DE,00-04,68
2019-10-06,40,DE,00-04,72
2019-10-13,41,DE,00-04,75
2019-10-20,42,DE,00-04,89
2019-10-27,43,DE,00-04,93
2019-11-03,44,DE,00-04,97
2019-11-10,45,DE,00-04,86
2019-11-17,46,DE,00-04,113
2019-11-24,47,DE,00-04,119
2019-12-01,48,DE,00-04,115
2019-12-08,49,DE,00-04,118
2019-12-15,50,DE,00-04,141
2019-12-22,51,DE,00-04,183
2019-12-29,52,DE,00-04,187
2020-01-05,1,DE,00-04,141
2020-01-12,2,DE,00-04,140
2020-01-19,3,DE,00-04,207
2020-01-26,4,DE,00-04,220
2020-02-02,5,DE,00-04,275
2020-02-09,6,DE,00-04,314
2020-02-16,7,DE,00-04,301
2020-02-23,8,DE,00-04,273
2020-03-01,9,DE,00-04,291
2020-03-08,10,DE,00-04,313
2020-03-15,11,DE,00-04,253
2020-03-22,12,DE,00-04,141
2020-03-29,13,DE,00-04,73
2020-04-05,14,DE,00-04,21
2020-04-12,15,DE,00-04,22
2020-04-19,16,DE,00-04,3
2020-04-26,17,DE,00-04,7
2020-05-03,18,DE,00-04,11
2020-05-10,19,DE,00-04,4
2020-05-17,20,DE,00-04,4
2020-05-24,21,DE,00-04,4
2020-05-31,22,DE,00-04,8
2020-06-07,23,DE,00-04,11
2020-06-14,24,DE,00-04,7
2020-06-21,25,DE,00-04,16
2020-06-28,26,DE,00-04,27
2020-07-05,27,DE,00-04,35
2020-07-12,28,DE,00-04,52
2020-07-19,29,DE,00-04,60
2020-07-26,30,DE,00-04,42
2020-08-02,31,DE,00-04,49
2020-08-09,32,DE,00-04,37
2020-08-16,33,DE,00-04,49
2020-08-23,34,DE,00-04,57
2020-08-30,35,DE,00-04,64
2020-09-06,36,DE,00-04,64
2020-09-13,37,DE,00-04,67
2020-09-20,38,DE,00-04,53
2020-09-27,39,DE,00-04,51
2020-10-04,40,DE,00-04,32
2020-10-11,41,DE,00-04,38
2020-10-18,42,DE,00-04,43
2020-10-25,43,DE,00-04,34
2020-11-01,44,DE,00-04,20
2020-11-08,45,DE,00-04,30
2020-11-15,46,DE,00-04,35
2020-11-22,47,DE,00-04,35
2020-11-29,48,DE,00-04,33
2020-12-06,49,DE,00-04,39
2020-12-13,50,DE,00-04,33
2020-12-20,51,DE,00-04,25
2020-12-27,52,DE,00-04,20
2021-01-03,53,DE,00-04,14
2021-01-10,1,DE,00-04,14
2021-01-17,2,DE,00-04,12
2021-01-24,3,DE,00-04,8
2021-01-31,4,DE,00-04,8
2021-02-07,5,DE,00-04,12
2021-02-14,6,DE,00-04,13
2021-02-21,7,DE,00-04,16
2021-02-28,8,DE,00-04,14
2021-03-07,9,DE,00-04,16
2021-03-14,10,DE,00-04,25
2021-03-21,11,DE,00-04,31
2021-03-28,12,DE,00-04,29
2021-04-04,13,DE,00-04,36
2021-04-11,14,DE,00-04,20
2021-04-18,15,DE,00-04,22
2021-04-25,16,DE,00-04,19
2021-05-02,17,DE,00-04,23
2021-05-09,18,DE,00-04,21
2021-05-16,19,DE,00-04,20
2021-05-23,20,DE,00-04,25
2021-05-30,21,DE,00-04,17
2021-06-06,22,DE,00-04,36
2021-06-13,23,DE,00-04,36
2021-06-20,24,DE,00-04,41
2021-06-27,25,DE,00-04,44
2021-07-04,26,DE,00-04,43
2021-07-11,27,DE,00-04,49
2021-07-18,28,DE,00-04,63
2021-07-25,29,DE,00-04,61
2021-08-01,30,DE,00-04,70
2021-08-08,31,DE,00-04,56
2021-08-15,32,DE,00-04,54
2021-08-22,33,DE,00-04,75
2021-08-29,34,DE,00-04,68
2021-09-05,35,DE,00-04,82
2021-09-12,36,DE,00-04,142
2021-09-19,37,DE,00-04,166
2021-09-26,38,DE,00-04,252
2021-10-03,39,DE,00-04,323
2021-10-10,40,DE,00-04,380
2021-10-17,41,DE,00-04,388
2021-10-24,42,DE,00-04,422
2021-10-31,43,DE,00-04,386
2021-11-07,44,DE,00-04,334
2021-11-14,45,DE,00-04,294
2021-11-21,46,DE,00-04,275
2021-11-28,47,DE,00-04,238
2021-12-05,48,DE,00-04,166
2021-12-12,49,DE,00-04,138
2021-12-19,50,DE,00-04,139
2021-12-26,51,DE,00-04,102
2022-01-02,52,DE,00-04,63
2022-01-09,1,DE,00-04,61
2022-01-16,2,DE,00-04,75
2022-01-23,3,DE,00-04,81
2022-01-30,4,DE,00-04,77
2022-02-06,5,DE,00-04,78
2022-02-13,6,DE,00-04,79
2022-02-20,7,DE,00-04,68
2022-02-27,8,DE,00-04,79
2022-03-06,9,DE,00-04,85
2022-03-13,10,DE,00-04,80
2022-03-20,11,DE,00-04,67
2022-03-27,12,DE,00-04,80
2022-04-03,13,DE,00-04,98
2022-04-10,14,DE,00-04,65
2022-04-17,15,DE,00-04,77
2022-04-24,16,DE,00-04,70
2022-05-01,17,DE,00-04,57
2022-05-08,18,DE,00-04,52
2022-05-15,19,DE,00-04,76
2022-05-22,20,DE,00-04,73
2022-05-29,26,DE,00-04,60
2022-05-29,21,DE,00-04,63
2022-06-05,22,DE,00-04,65
2022-06-05,27,DE,00-04,64
2022-06-12,23,DE,00-04,63
2022-06-12,28,DE,00-04,65
2022-06-19,24,DE,00-04,62
2022-06-19,29,DE,00-04,64
2022-06-26,25,DE,00-04,46
2022-06-26,30,DE,00-04,46
2022-07-03,26,DE,00-04,31
2022-07-03,31,DE,00-04,34
2022-07-10,27,DE,00-04,32
2022-07-10,32,DE,00-04,32
2022-07-17,28,DE,00-04,49
2022-07-17,33,DE,00-04,50
2022-07-24,29,DE,00-04,44
2022-07-24,34,DE,00-04,43
2022-07-31,30,DE,00-04,31
2022-07-31,35,DE,00-04,32
2022-08-07,31,DE,00-04,26
2022-08-07,36,DE,00-04,24
2022-08-14,32,DE,00-04,30
2022-08-14,37,DE,00-04,29
2022-08-21,33,DE,00-04,24
2022-08-21,38,DE,00-04,24
2022-08-28,34,DE,00-04,35
2022-08-28,39,DE,00-04,32
2022-09-04,35,DE,00-04,47
2022-09-04,40,DE,00-04,45
2022-09-11,36,DE,00-04,87
2022-09-11,41,DE,00-04,84
2022-09-18,37,DE,00-04,81
2022-09-18,42,DE,00-04,81
2022-09-25,38,DE,00-04,84
2022-09-25,43,DE,00-04,90
2022-10-02,39,DE,00-04,104
2022-10-02,44,DE,00-04,100
2022-10-09,40,DE,00-04,107
2022-10-09,45,DE,00-04,105
2022-10-16,41,DE,00-04,130
2022-10-23,42,DE,00-04,160
2022-10-30,43,DE,00-04,173
2022-11-06,44,DE,00-04,221
2022-11-13,45,DE,00-04,251
2022-11-20,46,DE,00-04,351
2022-11-27,47,DE,00-04,441
2022-12-04,48,DE,00-04,489
2022-12-11,49,DE,00-04,506
2022-12-18,50,DE,00-04,433
2022-12-25,51,DE,00-04,362
2022-12-25,50,DE,00-04,359
2023-01-01,52,DE,00-04,245
2023-01-01,51,DE,00-04,244
2023-01-08,1,DE,00-04,207
2023-01-08,52,DE,00-04,209
2023-01-15,2,DE,00-04,142
2023-01-15,1,DE,00-04,141
2023-01-22,3,DE,00-04,151
2023-01-22,2,DE,00-04,150
2023-01-29,4,DE,00-04,145
2023-01-29,3,DE,00-04,144
2023-02-05,5,DE,00-04,139
2023-02-05,4,DE,00-04,138
2023-02-12,6,DE,00-04,136
2023-02-12,5,DE,00-04,136
2023-02-19,7,DE,00-04,132
2023-02-19,6,DE,00-04,133
2023-02-26,8,DE,00-04,115
2023-02-26,7,DE,00-04,114
2023-03-05,9,DE,00-04,136
2023-03-05,8,DE,00-04,137
2023-03-12,10,DE,00-04,160
2023-03-12,9,DE,00-04,160
2023-03-19,11,DE,00-04,138
2023-03-19,10,DE,00-04,138
2023-03-26,12,DE,00-04,134
2023-03-26,11,DE,00-04,133
2023-04-02,13,DE,00-04,121
2023-04-02,12,DE,00-04,120
2023-04-09,14,DE,00-04,107
2023-04-09,13,DE,00-04,105
2023-04-16,15,DE,00-04,89
2023-04-16,14,DE,00-04,88
2023-04-23,16,DE,00-04,82
2023-04-23,15,DE,00-04,83
2023-04-30,17,DE,00-04,93
2023-04-30,16,DE,00-04,90
2023-05-07,18,DE,00-04,85
2023-05-07,17,DE,00-04,76
2023-05-14,19,DE,00-04,89
2023-05-21,20,DE,00-04,63
2023-05-28,21,DE,00-04,61
2023-06-04,22,DE,00-04,49
2018-10-07,40,DE,05-14,15
2018-10-14,41,DE,05-14,9
2018-10-21,42,DE,05-14,13
2018-10-28,43,DE,05-14,14
2018-11-04,44,DE,05-14,20
2018-11-11,45,DE,05-14,16
2018-11-18,46,DE,05-14,15
2018-11-25,47,DE,05-14,18
2018-12-02,48,DE,05-14,22
2018-12-09,49,DE,05-14,18
2018-12-16,50,DE,05-14,23
2018-12-23,51,DE,05-14,22
2018-12-30,52,DE,05-14,14
2019-01-06,1,DE,05-14,17
2019-01-13,2,DE,05-14,13
2019-01-20,3,DE,05-14,13
2019-01-27,4,DE,05-14,31
2019-02-03,5,DE,05-14,32
2019-02-10,6,DE,05-14,47
2019-02-17,7,DE,05-14,53
2019-02-24,8,DE,05-14,51
2019-03-03,9,DE,05-14,48
2019-03-10,10,DE,05-14,38
2019-03-17,11,DE,05-14,33
2019-03-24,12,DE,05-14,37
2019-03-31,13,DE,05-14,24
2019-04-07,14,DE,05-14,29
2019-04-14,15,DE,05-14,22
2019-04-21,16,DE,05-14,14
2019-04-28,17,DE,05-14,12
2019-05-05,18,DE,05-14,12
2019-05-12,19,DE,05-14,13
2019-05-19,20,DE,05-14,12
2019-05-26,21,DE,05-14,23
2019-06-02,22,DE,05-14,10
2019-06-09,23,DE,05-14,15
2019-06-16,24,DE,05-14,11
2019-06-23,25,DE,05-14,4
2019-06-30,26,DE,05-14,12
2019-07-07,27,DE,05-14,10
2019-07-14,28,DE,05-14,8
2019-07-21,29,DE,05-14,6
2019-07-28,30,DE,05-14,9
2019-08-04,31,DE,05-14,10
2019-08-11,32,DE,05-14,6
2019-08-18,33,DE,05-14,6
2019-08-25,34,DE,05-14,13
2019-09-01,35,DE,05-14,13
2019-09-08,36,DE,05-14,11
2019-09-15,37,DE,05-14,22
2019-09-22,38,DE,05-14,18
2019-09-29,39,DE,05-14,23
2019-10-06,40,DE,05-14,16
2019-10-13,41,DE,05-14,18
2019-10-20,42,DE,05-14,8
2019-10-27,43,DE,05-14,21
2019-11-03,44,DE,05-14,22
2019-11-10,45,DE,05-14,32
2019-11-17,46,DE,05-14,25
2019-11-24,47,DE,05-14,22
2019-12-01,48,DE,05-14,24
2019-12-08,49,DE,05-14,22
2019-12-15,50,DE,05-14,16
2019-12-22,51,DE,05-14,32
2019-12-29,52,DE,05-14,33
2020-01-05,1,DE,05-14,24
2020-01-12,2,DE,05-14,16
2020-01-19,3,DE,05-14,19
2020-01-26,4,DE,05-14,51
