"date","week","location","age_group","value"
2022-08-07,31,"DE","00-04",21
2022-08-14,32,"DE","00-04",25
2022-08-21,33,"DE","00-04",20
2022-08-28,34,"DE","00-04",29
2022-09-04,35,"DE","00-04",39
2022-09-11,36,"DE","00-04",73
2022-09-18,37,"DE","00-04",67
2022-09-25,38,"DE","00-04",74
2022-10-02,39,"DE","00-04",87
2022-10-09,40,"DE","00-04",89
2022-10-16,41,"DE","00-04",112
2022-10-23,42,"DE","00-04",133
2022-10-30,43,"DE","00-04",144
2022-11-06,44,"DE","00-04",185
2022-11-13,45,"DE","00-04",212
2022-11-20,46,"DE","00-04",293
2022-11-27,47,"DE","00-04",361
2022-12-04,48,"DE","00-04",413
2022-12-11,49,"DE","00-04",419
2022-12-18,50,"DE","00-04",326
2022-08-07,31,"DE","05-14",9
2022-08-14,32,"DE","05-14",4
2022-08-21,33,"DE","05-14",7
2022-08-28,34,"DE","05-14",14
2022-09-04,35,"DE","05-14",16
2022-09-11,36,"DE","05-14",21
2022-09-18,37,"DE","05-14",27
2022-09-25,38,"DE","05-14",22
2022-10-02,39,"DE","05-14",20
2022-10-09,40,"DE","05-14",15
2022-10-16,41,"DE","05-14",23
2022-10-23,42,"DE","05-14",31
2022-10-30,43,"DE","05-14",23
2022-11-06,44,"DE","05-14",22
2022-11-13,45,"DE","05-14",46
2022-11-20,46,"DE","05-14",48
2022-11-27,47,"DE","05-14",67
2022-12-04,48,"DE","05-14",78
2022-12-11,49,"DE","05-14",80
2022-12-18,50,"DE","05-14",77
2022-08-07,31,"DE","15-34",11
2022-08-14,32,"DE","15-34",8
2022-08-21,33,"DE","15-34",14
2022-08-28,34,"DE","15-34",10
2022-09-04,35,"DE","15-34",5
2022-09-11,36,"DE","15-34",8
2022-09-18,37,"DE","15-34",7
2022-09-25,38,"DE","15-34",12
2022-10-02,39,"DE","15-34",16
2022-10-09,40,"DE","15-34",12
2022-10-16,41,"DE","15-34",15
2022-10-23,42,"DE","15-34",13
2022-10-30,43,"DE","15-34",12
2022-11-06,44,"DE","15-34",10
2022-11-13,45,"DE","15-34",13
2022-11-20,46,"DE","15-34",25
2022-11-27,47,"DE","15-34",40
2022-12-04,48,"DE","15-34",58
2022-12-11,49,"DE","15-34",46
2022-12-18,50,"DE","15-34",50
2022-08-07,31,"DE","35-59",36
2022-08-14,32,"DE","35-59",32
2022-08-21,33,"DE","35-59",33
2022-08-28,34,"DE","35-59",25
2022-09-04,35,"DE","35-59",21
2022-09-11,36,"DE","35-59",39
2022-09-18,37,"DE","35-59",38
2022-09-25,38,"DE","35-59",40
2022-10-02,39,"DE","35-59",53
2022-10-09,40,"DE","35-59",39
2022-10-16,41,"DE","35-59",43
2022-10-23,42,"DE","35-59",55
2022-10-30,43,"DE","35-59",38
2022-11-06,44,"DE","35-59",39
2022-11-13,45,"DE","35-59",45
2022-11-20,46,"DE","35-59",65
2022-11-27,47,"DE","35-59",70
2022-12-04,48,"DE","35-59",87
2022-12-11,49,"DE","35-59",107
2022-12-18,50,"DE","35-59",85
2022-08-07,31,"DE","60-79",129
2022-08-14,32,"DE","60-79",99
2022-08-21,33,"DE","60-79",111
2022-08-28,34,"DE","60-79",90
2022-09-04,35,"DE","60-79",88
2022-09-11,36,"DE","60-79",106
2022-09-18,37,"DE","60-79",103
2022-09-25,38,"DE","60-79",115
2022-10-02,39,"DE","60-79",162
2022-10-09,40,"DE","60-79",170
2022-10-16,41,"DE","60-79",195
2022-10-23,42,"DE","60-79",176
2022-10-30,43,"DE","60-79",177
2022-11-06,44,"DE","60-79",125
2022-11-13,45,"DE","60-79",150
2022-11-20,46,"DE","60-79",169
2022-11-27,47,"DE","60-79",191
2022-12-04,48,"DE","60-79",194
2022-12-11,49,"DE","60-79",266
2022-12-18,50,"DE","60-79",263
2022-08-07,31,"DE","80+",148
2022-08-14,32,"DE","80+",146
2022-08-21,33,"DE","80+",133
2022-08-28,34,"DE","80+",110
2022-09-04,35,"DE","80+",107
2022-09-11,36,"DE","80+",123
2022-09-18,37,"DE","80+",114
2022-09-25,38,"DE","80+",164
2022-10-02,39,"DE","80+",218
2022-10-09,40,"DE","80+",251
2022-10-16,41,"DE","80+",264
2022-10-23,42,"DE","80+",234
2022-10-30,43,"DE","80+",206
2022-11-06,44,"DE","80+",171
2022-11-13,45,"DE","80+",174
2022-11-20,46,"DE","80+",159
2022-11-27,47,"DE","80+",211
2022-12-04,48,"DE","80+",249
2022-12-11,49,"DE","80+",306
2022-12-18,50,"DE","80+",324
2022-08-07,31,"DE","00+",355
2022-08-14,32,"DE","00+",315
2022-08-21,33,"DE","00+",318
2022-08-28,34,"DE","00+",278
2022-09-04,35,"DE","00+",276
2022-09-11,36,"DE","00+",370
2022-09-18,37,"DE","00+",356
2022-09-25,38,"DE","00+",426
2022-10-02,39,"DE","00+",555
2022-10-09,40,"DE","00+",576
2022-10-16,41,"DE","00+",653
2022-10-23,42,"DE","00+",642
2022-10-30,43,"DE","00+",600
2022-11-06,44,"DE","00+",552
2022-11-13,45,"DE","00+",641
2022-11-20,46,"DE","00+",759
2022-11-27,47,"DE","00+",941
2022-12-04,48,"DE","00+",1079
2022-12-11,49,"DE","00+",1225
2022-12-18,50,"DE","00+",1125
