"date","location","age_group","value"
"2021-05-09","DE-HE","00+","32"
"2020-10-04","DE-MV","00+","2"
"2020-10-11","DE-MV","00+","3"
"2020-10-18","DE-MV","00+","3"
"2020-10-25","DE-MV","00+","3"
"2020-11-01","DE-MV","00+","1"
"2020-11-08","DE-MV","00+","3"
"2020-11-15","DE-MV","00+","3"
"2020-11-22","DE-MV","00+","2"
"2020-11-29","DE-MV","00+","3"
"2020-12-06","DE-MV","00+","3"
"2020-12-13","DE-MV","00+","5"
"2020-12-20","DE-MV","00+","3"
"2020-12-27","DE-MV","00+","0"
"2021-01-03","DE-MV","00+","2"
"2021-01-10","DE-MV","00+","4"
"2021-01-17","DE-MV","00+","1"
"2021-01-24","DE-MV","00+","6"
"2021-01-31","DE-MV","00+","10"
"2021-02-07","DE-MV","00+","3"
"2021-02-14","DE-MV","00+","6"
"2021-02-21","DE-MV","00+","12"
"2021-02-28","DE-MV","00+","5"
"2021-03-07","DE-MV","00+","12"
"2021-03-14","DE-MV","00+","9"
"2021-03-21","DE-MV","00+","18"
"2021-03-28","DE-MV","00+","18"
"2021-04-04","DE-MV","00+","9"
"2021-04-11","DE-MV","00+","14"
"2021-04-18","DE-MV","00+","8"
"2021-04-25","DE-MV","00+","15"
"2021-05-02","DE-MV","00+","4"
"2021-05-09","DE-MV","00+","12"
"2020-10-04","DE-NI-HB","00+","6"
"2020-10-11","DE-NI-HB","00+","4"
"2020-10-18","DE-NI-HB","00+","0"
"2020-10-25","DE-NI-HB","00+","3"
"2020-11-01","DE-NI-HB","00+","4"
"2020-11-08","DE-NI-HB","00+","4"
"2020-11-15","DE-NI-HB","00+","8"
"2020-11-22","DE-NI-HB","00+","8"
"2020-11-29","DE-NI-HB","00+","2"
"2020-12-06","DE-NI-HB","00+","9"
"2020-12-13","DE-NI-HB","00+","13"
"2020-12-20","DE-NI-HB","00+","15"
"2020-12-27","DE-NI-HB","00+","5"
"2021-01-03","DE-NI-HB","00+","4"
"2021-01-10","DE-NI-HB","00+","6"
"2021-01-17","DE-NI-HB","00+","12"
"2021-01-24","DE-NI-HB","00+","13"
"2021-01-31","DE-NI-HB","00+","15"
"2021-02-07","DE-NI-HB","00+","21"
"2021-02-14","DE-NI-HB","00+","17"
