"date","week","location","age_group","value"
"2017-10-08","40","DE","00+",57
"2017-10-15","41","DE","00+",98
"2017-10-22","42","DE","00+",90
"2017-10-29","43","DE","00+",97
"2017-11-05","44","DE","00+",68
"2017-11-12","45","DE","00+",108
"2017-11-19","46","DE","00+",112
"2017-11-26","47","DE","00+",135
"2017-12-03","48","DE","00+",139
"2017-12-10","49","DE","00+",141
"2017-12-17","50","DE","00+",127
"2017-12-24","51","DE","00+",100
"2017-12-31","52","DE","00+",52
"2018-01-07","01","DE","00+",157
"2018-01-14","02","DE","00+",195
"2018-01-21","03","DE","00+",263
"2018-01-28","04","DE","00+",307
"2018-02-04","05","DE","00+",369
"2018-02-11","06","DE","00+",356
"2018-02-18","07","DE","00+",398
"2018-02-25","08","DE","00+",396
"2018-03-04","09","DE","00+",418
"2018-03-11","10","DE","00+",388
"2018-03-18","11","DE","00+",316
"2018-03-25","12","DE","00+",206
"2018-04-01","13","DE","00+",146
"2018-04-08","14","DE","00+",92
"2018-04-15","15","DE","00+",90
"2018-04-22","16","DE","00+",72
"2018-04-29","17","DE","00+",48
"2018-05-06","18","DE","00+",34
"2018-05-13","19","DE","00+",31
"2018-05-20","20","DE","00+",20
"2018-05-27","21","DE","00+",19
"2018-06-03","22","DE","00+",11
"2018-06-10","23","DE","00+",0
"2017-10-08","40","DE-BB-BE","00+",4
"2017-10-15","41","DE-BB-BE","00+",12
"2017-10-22","42","DE-BB-BE","00+",8
"2017-10-29","43","DE-BB-BE","00+",8
"2017-11-05","44","DE-BB-BE","00+",4
"2017-11-12","45","DE-BB-BE","00+",12
"2017-11-19","46","DE-BB-BE","00+",10
"2017-11-26","47","DE-BB-BE","00+",11
"2017-12-03","48","DE-BB-BE","00+",8
"2017-12-10","49","DE-BB-BE","00+",15
"2017-12-17","50","DE-BB-BE","00+",11
"2017-12-24","51","DE-BB-BE","00+",5
"2017-12-31","52","DE-BB-BE","00+",6
"2018-01-07","01","DE-BB-BE","00+",13
"2018-01-14","02","DE-BB-BE","00+",14
"2018-01-21","03","DE-BB-BE","00+",27
"2018-01-28","04","DE-BB-BE","00+",40
"2018-02-04","05","DE-BB-BE","00+",48
"2018-02-11","06","DE-BB-BE","00+",40
"2018-02-18","07","DE-BB-BE","00+",48
"2018-02-25","08","DE-BB-BE","00+",43
"2018-03-04","09","DE-BB-BE","00+",60
"2018-03-11","10","DE-BB-BE","00+",72
"2018-03-18","11","DE-BB-BE","00+",52
"2018-03-25","12","DE-BB-BE","00+",20
"2018-04-01","13","DE-BB-BE","00+",18
"2018-04-08","14","DE-BB-BE","00+",14
"2018-04-15","15","DE-BB-BE","00+",8
"2018-04-22","16","DE-BB-BE","00+",5
"2018-04-29","17","DE-BB-BE","00+",0
"2018-05-06","18","DE-BB-BE","00+",4
"2018-05-13","19","DE-BB-BE","00+",4
"2018-05-20","20","DE-BB-BE","00+",0
"2018-05-27","21","DE-BB-BE","00+",0
"2018-06-03","22","DE-BB-BE","00+",1
"2018-06-10","23","DE-BB-BE","00+",0
"2017-10-08","40","DE-BW","00+",4
"2017-10-15","41","DE-BW","00+",10
"2017-10-22","42","DE-BW","00+",10
"2017-10-29","43","DE-BW","00+",5
"2017-11-05","44","DE-BW","00+",4
"2017-11-12","45","DE-BW","00+",20
"2017-11-19","46","DE-BW","00+",14
"2017-11-26","47","DE-BW","00+",16
"2017-12-03","48","DE-BW","00+",14
"2017-12-10","49","DE-BW","00+",13
"2017-12-17","50","DE-BW","00+",9
"2017-12-24","51","DE-BW","00+",8
"2017-12-31","52","DE-BW","00+",8
"2018-01-07","01","DE-BW","00+",25
"2018-01-14","02","DE-BW","00+",34
"2018-01-21","03","DE-BW","00+",37
"2018-01-28","04","DE-BW","00+",36
"2018-02-04","05","DE-BW","00+",43
"2018-02-11","06","DE-BW","00+",32
"2018-02-18","07","DE-BW","00+",37
"2018-02-25","08","DE-BW","00+",38
"2018-03-04","09","DE-BW","00+",48
"2018-03-11","10","DE-BW","00+",45
"2018-03-18","11","DE-BW","00+",32
"2018-03-25","12","DE-BW","00+",21
"2018-04-01","13","DE-BW","00+",14
"2018-04-08","14","DE-BW","00+",7
"2018-04-15","15","DE-BW","00+",6
"2018-04-22","16","DE-BW","00+",7
"2018-04-29","17","DE-BW","00+",4
"2018-05-06","18","DE-BW","00+",3
"2018-05-13","19","DE-BW","00+",2
"2018-05-20","20","DE-BW","00+",4
"2018-05-27","21","DE-BW","00+",0
"2018-06-03","22","DE-BW","00+",1
"2018-06-10","23","DE-BW","00+",0
"2017-10-08","40","DE-BY","00+",3
"2017-10-15","41","DE-BY","00+",12
"2017-10-22","42","DE-BY","00+",8
"2017-10-29","43","DE-BY","00+",16
"2017-11-05","44","DE-BY","00+",2
"2017-11-12","45","DE-BY","00+",10
"2017-11-19","46","DE-BY","00+",4
"2017-11-26","47","DE-BY","00+",10
"2017-12-03","48","DE-BY","00+",10
"2017-12-10","49","DE-BY","00+",18
"2017-12-17","50","DE-BY","00+",18
"2017-12-24","51","DE-BY","00+",10
