"date","week","location","age_group","value"
"2022-10-09","40","DE","00+","99"
"2022-10-16","41","DE","00+","136"
"2022-10-23","42","DE","00+","113"
"2022-10-30","43","DE","00+","128"
"2022-11-06","44","DE","00+","156"
"2022-11-13","45","DE","00+","233"
"2022-11-20","46","DE","00+","260"
"2022-11-27","47","DE","00+","322"
"2022-12-04","48","DE","00+","362"
"2022-12-11","49","DE","00+","349"
"2022-12-18","50","DE","00+","353"
"2022-12-25","51","DE","00+","200"
"2023-01-01","52","DE","00+","65"
"2023-01-08","01","DE","00+","131"
"2023-01-15","02","DE","00+","38"
"2022-10-09","40","DE-BB-BE","00+","4"
"2022-10-16","41","DE-BB-BE","00+","12"
"2022-10-23","42","DE-BB-BE","00+","9"
"2022-10-30","43","DE-BB-BE","00+","5"
"2022-11-06","44","DE-BB-BE","00+","10"
"2022-11-13","45","DE-BB-BE","00+","13"
"2022-11-20","46","DE-BB-BE","00+","25"
"2022-11-27","47","DE-BB-BE","00+","43"
"2022-12-04","48","DE-BB-BE","00+","50"
"2022-12-11","49","DE-BB-BE","00+","41"
"2022-12-18","50","DE-BB-BE","00+","36"
"2022-12-25","51","DE-BB-BE","00+","22"
"2023-01-01","52","DE-BB-BE","00+","3"
"2023-01-08","01","DE-BB-BE","00+","15"
"2023-01-15","02","DE-BB-BE","00+","7"
"2022-10-09","40","DE-BW","00+","14"
"2022-10-16","41","DE-BW","00+","20"
"2022-10-23","42","DE-BW","00+","14"
"2022-10-30","43","DE-BW","00+","14"
"2022-11-06","44","DE-BW","00+","11"
"2022-11-13","45","DE-BW","00+","16"
"2022-11-20","46","DE-BW","00+","11"
"2022-11-27","47","DE-BW","00+","34"
"2022-12-04","48","DE-BW","00+","32"
"2022-12-11","49","DE-BW","00+","42"
"2022-12-18","50","DE-BW","00+","58"
"2022-12-25","51","DE-BW","00+","23"
"2023-01-01","52","DE-BW","00+","12"
"2023-01-08","01","DE-BW","00+","14"
"2023-01-15","02","DE-BW","00+","2"
"2022-10-09","40","DE-BY","00+","7"
