"date","location","age_group","value"
"2018-10-07","DE","00+","0"
"2018-10-14","DE","00+","0"
"2018-10-21","DE","00+","0"
"2018-10-28","DE","00+","0"
"2018-11-04","DE","00+","0"
"2018-11-11","DE","00+","0"
"2018-11-18","DE","00+","2"
"2018-11-25","DE","00+","1"
"2018-12-02","DE","00+","4"
"2018-12-09","DE","00+","5"
"2018-12-16","DE","00+","12"
"2018-12-23","DE","00+","16"
"2018-12-30","DE","00+","7"
"2019-01-06","DE","00+","21"
"2019-01-13","DE","00+","20"
"2019-01-20","DE","00+","36"
"2019-01-27","DE","00+","36"
"2019-02-03","DE","00+","30"
"2019-02-10","DE","00+","37"
"2019-02-17","DE","00+","32"
"2019-02-24","DE","00+","31"
"2019-03-03","DE","00+","22"
"2019-03-10","DE","00+","17"
"2019-03-17","DE","00+","15"
"2019-03-24","DE","00+","9"
"2019-03-31","DE","00+","5"
"2019-04-07","DE","00+","7"
"2019-04-14","DE","00+","1"
"2019-04-21","DE","00+","0"
"2018-10-07","DE-BB-BE","00+","0"
"2018-10-14","DE-BB-BE","00+","0"
"2018-10-21","DE-BB-BE","00+","0"
"2018-10-28","DE-BB-BE","00+","0"
"2018-11-04","DE-BB-BE","00+","0"
"2018-11-11","DE-BB-BE","00+","0"
"2018-11-18","DE-BB-BE","00+","0"
"2018-11-25","DE-BB-BE","00+","1"
"2018-12-02","DE-BB-BE","00+","0"
"2018-12-09","DE-BB-BE","00+","0"
"2018-12-16","DE-BB-BE","00+","4"
"2018-12-23","DE-BB-BE","00+","2"
"2018-12-30","DE-BB-BE","00+","0"
"2019-01-06","DE-BB-BE","00+","2"
"2019-01-13","DE-BB-BE","00+","3"
"2019-01-20","DE-BB-BE","00+","6"
"2019-01-27","DE-BB-BE","00+","3"
"2019-02-03","DE-BB-BE","00+","6"
"2019-02-10","DE-BB-BE","00+","1"
"2019-02-17","DE-BB-BE","00+","6"
"2019-02-24","DE-BB-BE","00+","6"
"2019-03-03","DE-BB-BE","00+","4"
"2019-03-10","DE-BB-BE","00+","1"
"2019-03-17","DE-BB-BE","00+","0"
"2019-03-24","DE-BB-BE","00+","1"
"2019-03-31","DE-BB-BE","00+","1"
"2019-04-07","DE-BB-BE","00+","2"
"2019-04-14","DE-BB-BE","00+","0"
"2019-04-21","DE-BB-BE","00+","0"
"2018-10-07","DE-BW","00+","0"
"2018-10-14","DE-BW","00+","0"
"2018-10-21","DE-BW","00+","0"
"2018-10-28","DE-BW","00+","0"
"2018-11-04","DE-BW","00+","0"
"2018-11-11","DE-BW","00+","0"
"2018-11-18","DE-BW","00+","0"
"2018-11-25","DE-BW","00+","0"
"2018-12-02","DE-BW","00+","0"
"2018-12-09","DE-BW","00+","1"
"2018-12-16","DE-BW","00+","1"
"2018-12-23","DE-BW","00+","0"
"2018-12-30","DE-BW","00+","1"
"2019-01-06","DE-BW","00+","1"
"2019-01-13","DE-BW","00+","4"
"2019-01-20","DE-BW","00+","3"
"2019-01-27","DE-BW","00+","4"
"2019-02-03","DE-BW","00+","4"
"2019-02-10","DE-BW","00+","6"
"2019-02-17","DE-BW","00+","7"
"2019-02-24","DE-BW","00+","1"
"2019-03-03","DE-BW","00+","2"
"2019-03-10","DE-BW","00+","1"
"2019-03-17","DE-BW","00+","1"
"2019-03-24","DE-BW","00+","0"
"2019-03-31","DE-BW","00+","1"
"2019-04-07","DE-BW","00+","0"
"2019-04-14","DE-BW","00+","0"
"2019-04-21","DE-BW","00+","0"
"2018-10-07","DE-BY","00+","0"
"2018-10-14","DE-BY","00+","0"
"2018-10-21","DE-BY","00+","0"
"2018-10-28","DE-BY","00+","0"
"2018-11-04","DE-BY","00+","0"
"2018-11-11","DE-BY","00+","0"
"2018-11-18","DE-BY","00+","1"
"2018-11-25","DE-BY","00+","0"
"2018-12-02","DE-BY","00+","0"
"2018-12-09","DE-BY","00+","0"
"2018-12-16","DE-BY","00+","1"
"2018-12-23","DE-BY","00+","0"
"2018-12-30","DE-BY","00+","0"
"2019-01-06","DE-BY","00+","0"
"2019-01-13","DE-BY","00+","0"
"2019-01-20","DE-BY","00+","1"
"2019-01-27","DE-BY","00+","2"
"2019-02-03","DE-BY","00+","0"
"2019-02-10","DE-BY","00+","4"
"2019-02-17","DE-BY","00+","3"
"2019-02-24","DE-BY","00+","4"
"2019-03-03","DE-BY","00+","2"
"2019-03-10","DE-BY","00+","1"
"2019-03-17","DE-BY","00+","4"
"2019-03-24","DE-BY","00+","1"
"2019-03-31","DE-BY","00+","1"
"2019-04-07","DE-BY","00+","1"
"2019-04-14","DE-BY","00+","0"
"2019-04-21","DE-BY","00+","0"
"2018-10-07","DE-HE","00+","0"
"2018-10-14","DE-HE","00+","0"
"2018-10-21","DE-HE","00+","0"
"2018-10-28","DE-HE","00+","0"
"2018-11-04","DE-HE","00+","0"
"2018-11-11","DE-HE","00+","0"
"2018-11-18","DE-HE","00+","0"
"2018-11-25","DE-HE","00+","0"
"2018-12-02","DE-HE","00+","1"
"2018-12-09","DE-HE","00+","1"
"2018-12-16","DE-HE","00+","0"
"2018-12-23","DE-HE","00+","1"
"2018-12-30","DE-HE","00+","0"
"2019-01-06","DE-HE","00+","1"
"2019-01-13","DE-HE","00+","2"
"2019-01-20","DE-HE","00+","5"
"2019-01-27","DE-HE","00+","3"
"2019-02-03","DE-HE","00+","2"
"2019-02-10","DE-HE","00+","4"
"2019-02-17","DE-HE","00+","0"
"2019-02-24","DE-HE","00+","3"
"2019-03-03","DE-HE","00+","2"
"2019-03-10","DE-HE","00+","3"
"2019-03-17","DE-HE","00+","3"
"2019-03-24","DE-HE","00+","1"
"2019-03-31","DE-HE","00+","0"
"2019-04-07","DE-HE","00+","0"
"2019-04-14","DE-HE","00+","0"
"2019-04-21","DE-HE","00+","0"
"2018-10-07","DE-MV","00+","0"
"2018-10-14","DE-MV","00+","0"
"2018-10-21","DE-MV","00+","0"
"2018-10-28","DE-MV","00+","0"
"2018-11-04","DE-MV","00+","0"
"2018-11-11","DE-MV","00+","0"
"2018-11-18","DE-MV","00+","0"
"2018-11-25","DE-MV","00+","0"
"2018-12-02","DE-MV","00+","0"
"2018-12-09","DE-MV","00+","1"
"2018-12-16","DE-MV","00+","0"
"2018-12-23","DE-MV","00+","0"
"2018-12-30","DE-MV","00+","0"
"2019-01-06","DE-MV","00+","1"
"2019-01-13","DE-MV","00+","1"
"2019-01-20","DE-MV","00+","1"
"2019-01-27","DE-MV","00+","0"
"2019-02-03","DE-MV","00+","2"
"2019-02-10","DE-MV","00+","0"
"2019-02-17","DE-MV","00+","0"
"2019-02-24","DE-MV","00+","0"
"2019-03-03","DE-MV","00+","1"
"2019-03-10","DE-MV","00+","0"
"2019-03-17","DE-MV","00+","1"
"2019-03-24","DE-MV","00+","0"
"2019-03-31","DE-MV","00+","0"
"2019-04-07","DE-MV","00+","0"
"2019-04-14","DE-MV","00+","1"
"2019-04-21","DE-MV","00+","0"
"2018-10-07","DE-NI-HB","00+","0"
"2018-10-14","DE-NI-HB","00+","0"
"2018-10-21","DE-NI-HB","00+","0"
"2018-10-28","DE-NI-HB","00+","0"
"2018-11-04","DE-NI-HB","00+","0"
"2018-11-11","DE-NI-HB","00+","0"
"2018-11-18","DE-NI-HB","00+","0"
